,genename,length,group,Cpg_number,log_gene_length,log_CpG,promoter_CpG_number,log_promoter_CpG
73,Smpd4,"25,476",Group1,271,4.41,2.43,31,1.49
74,Clint1,"58,576",Group1,654,4.77,2.82,53,1.72
75,Neurl1a,"80,622",Group1,"1,311",4.91,3.12,43,1.63
76,Tmem110,"51,622",Group1,718,4.71,2.86,27,1.43
77,Qrich1,"43,359",Group1,420,4.64,2.62,29,1.46
78,RP23-92G13.7,"56,137",Group1,626,4.75,2.8,28,1.45
79,Sulf2,"82,576",Group1,"1,512",4.92,3.18,33,1.52
80,Stx1a,"27,620",Group1,501,4.44,2.7,34,1.53
81,Mark3,"81,700",Group1,810,4.91,2.91,57,1.76
82,Gabrb2,"209,273",Group1,"1,109",5.32,3.04,43,1.63
83,Zmiz1,"207,560",Group1,"2,794",5.32,3.45,127,2.1
84,Ift43,"79,920",Group1,"1,157",4.9,3.06,25,1.4
85,Fhl2,"73,912",Group1,783,4.87,2.89,7,0.85
86,Clstn3,"34,037",Group1,434,4.53,2.64,30,1.48
87,Cers4,"38,656",Group1,304,4.59,2.48,23,1.36
88,Elavl2,"150,024",Group1,"1,360",5.18,3.13,25,1.4
89,Pou2f2,"92,384",Group1,"1,583",4.97,3.2,79,1.9
90,Rbfox1,"1,526,173",Group1,"9,969",6.18,4,45,1.65
91,Man1a2,"123,297",Group1,863,5.09,2.94,122,2.09
92,Nf2,"83,693",Group1,825,4.92,2.92,38,1.58
93,Ap1b1,"55,969",Group1,565,4.75,2.75,18,1.26
94,Mkl2,"161,050",Group1,"1,255",5.21,3.1,45,1.65
95,Mcu,"169,710",Group1,"2,160",5.23,3.33,38,1.58
96,Pou6f2,"276,590",Group1,"1,918",5.44,3.28,23,1.36
97,Snap47,"44,054",Group1,514,4.64,2.71,24,1.38
98,Gabra1,"51,993",Group1,332,4.72,2.52,24,1.38
99,Pdhx,"52,440",Group1,459,4.72,2.66,57,1.76
100,Sptbn4,"91,305",Group1,"1,657",4.96,3.22,75,1.88
101,Evi5,"130,314",Group1,"1,045",5.11,3.02,10,1
102,Med15,"81,685",Group1,603,4.91,2.78,44,1.64
103,Adgrl1,"41,851",Group1,808,4.62,2.91,74,1.87
104,Etv5,"58,412",Group1,952,4.77,2.98,74,1.87
105,Ptprs,"64,059",Group1,"1,519",4.81,3.18,60,1.78
106,Tango2,"47,280",Group1,477,4.67,2.68,79,1.9
107,Prdm15,"60,385",Group1,593,4.78,2.77,33,1.52
108,Klhl3,"113,366",Group1,"1,738",5.05,3.24,46,1.66
109,Dnajc7,"37,352",Group1,525,4.57,2.72,23,1.36
110,Bicc1,"236,870",Group1,"2,872",5.37,3.46,85,1.93
111,Ankrd28,"131,885",Group1,936,5.12,2.97,80,1.9
112,Wdfy2,"123,833",Group1,"1,158",5.09,3.06,54,1.73
113,Camta1,"944,556",Group1,"13,614",5.98,4.13,114,2.06
114,Kif1a,"86,489",Group1,"1,089",4.94,3.04,44,1.64
115,Fam120b,"37,383",Group1,477,4.57,2.68,30,1.48
116,Efr3a,"86,784",Group1,705,4.94,2.85,27,1.43
117,Actn1,"92,826",Group1,"1,203",4.97,3.08,60,1.78
118,Sash1,"163,853",Group1,"2,463",5.21,3.39,54,1.73
119,Arnt,"62,854",Group1,508,4.8,2.71,29,1.46
120,Zfp318,"37,191",Group1,397,4.57,2.6,61,1.79
121,Arnt2,"163,900",Group1,"1,335",5.21,3.13,33,1.52
122,Tnr,"407,962",Group1,"2,970",5.61,3.47,8,0.9
123,Fam184b,"109,911",Group1,809,5.04,2.91,27,1.43
124,Lcorl,"160,436",Group1,"1,174",5.21,3.07,48,1.68
125,Cacna1d,"451,518",Group1,"4,916",5.65,3.69,21,1.32
126,Syt14,"144,544",Group1,862,5.16,2.94,48,1.68
127,E2f3,"79,490",Group1,"1,285",4.9,3.11,49,1.69
128,Ppfibp1,"143,540",Group1,"1,301",5.16,3.11,72,1.86
129,Atxn10,"126,969",Group1,"1,300",5.1,3.11,24,1.38
130,Pacsin2,"89,001",Group1,985,4.95,2.99,41,1.61
131,Scube1,"120,024",Group1,"1,730",5.08,3.24,71,1.85
132,Cyth1,"116,575",Group1,"1,432",5.07,3.16,47,1.67
133,Vps53,"133,423",Group1,"1,156",5.13,3.06,40,1.6
134,Nlk,"130,207",Group1,871,5.11,2.94,49,1.69
135,Cacnb4,"248,513",Group1,"2,607",5.4,3.42,26,1.41
136,Rarb,"388,319",Group1,"2,495",5.59,3.4,4,0.6
137,Rab11fip4,"106,813",Group1,"1,536",5.03,3.19,67,1.83
138,Rhot1,"58,890",Group1,554,4.77,2.74,29,1.46
139,Rhbdl3,"55,045",Group1,715,4.74,2.85,56,1.75
140,Pitpna,"40,709",Group1,457,4.61,2.66,42,1.62
141,Ppp2r5c,"135,944",Group1,"2,178",5.13,3.34,95,1.98
142,B4galt5,"50,741",Group1,757,4.71,2.88,76,1.88
143,Cadps2,"576,650",Group1,"4,567",5.76,3.66,78,1.89
144,Cyth3,"87,805",Group1,"1,082",4.94,3.03,43,1.63
145,Med13l,"204,761",Group1,"2,584",5.31,3.41,179,2.25
146,Vmp1,"99,973",Group1,809,5,2.91,49,1.69
147,Stk4,"85,204",Group1,"1,205",4.93,3.08,17,1.23
148,Anxa6,"54,339",Group1,602,4.74,2.78,42,1.62
149,Mapt,"100,702",Group1,"1,438",5,3.16,68,1.83
150,Kansl1,"135,634",Group1,956,5.13,2.98,108,2.03
151,Myo1b,"166,308",Group1,"1,891",5.22,3.28,21,1.32
152,Appbp2,"47,870",Group1,506,4.68,2.7,41,1.61
153,Tada2a,"50,682",Group1,527,4.7,2.72,53,1.72
154,Dync1h1,"65,495",Group1,"1,319",4.82,3.12,59,1.77
155,Acsl1,"65,016",Group1,926,4.81,2.97,45,1.65
156,Abca5,"68,349",Group1,700,4.83,2.85,45,1.65
157,Wwc1,"142,129",Group1,"2,014",5.15,3.3,48,1.68
158,Arrb1,"71,307",Group1,910,4.85,2.96,46,1.66
159,Nars2,"113,255",Group1,809,5.05,2.91,26,1.41
160,Scrn1,"65,318",Group1,804,4.82,2.91,23,1.36
161,Cacng2,"128,282",Group1,"1,645",5.11,3.22,34,1.53
162,Atp6v0a1,"54,269",Group1,762,4.73,2.88,36,1.56
163,Sema6a,"133,274",Group1,"1,753",5.12,3.24,88,1.94
164,Akt3,"238,132",Group1,"1,252",5.38,3.1,116,2.06
165,Rgs17,"96,739",Group1,801,4.99,2.9,49,1.69
166,Stxbp5,"145,534",Group1,"1,454",5.16,3.16,79,1.9
167,Pcmt1,"51,765",Group1,636,4.71,2.8,103,2.01
168,Lrp11,"35,685",Group1,457,4.55,2.66,35,1.54
169,Aig1,"221,928",Group1,"2,007",5.35,3.3,40,1.6
170,Utrn,"487,179",Group1,"4,363",5.69,3.64,52,1.72
171,Grm1,"396,299",Group1,"2,552",5.6,3.41,11,1.04
172,Slc16a10,"108,728",Group1,"1,046",5.04,3.02,30,1.48
173,Rev3l,"143,095",Group1,"1,177",5.16,3.07,125,2.1
174,Arfgef3,"162,112",Group1,"1,286",5.21,3.11,16,1.2
175,Reps1,"69,296",Group1,747,4.84,2.87,104,2.02
176,Fam184a,"117,980",Group1,"1,050",5.07,3.02,62,1.79
177,Reep3,"87,758",Group1,"1,281",4.94,3.11,73,1.86
178,Mgat4c,"709,984",Group1,"3,353",5.85,3.53,8,0.9
179,Ptprk,"522,579",Group1,"3,459",5.72,3.54,64,1.81
180,Lama2,"639,724",Group1,"3,375",5.81,3.53,7,0.85
181,Lin7a,"149,790",Group1,"1,174",5.18,3.07,29,1.46
182,Ppp1r12a,"122,284",Group1,"1,150",5.09,3.06,90,1.95
183,Lims1,"101,227",Group1,763,5.01,2.88,42,1.62
184,Arid5b,"186,222",Group1,"2,429",5.27,3.39,70,1.85
185,Uhrf1bp1l,"74,882",Group1,795,4.87,2.9,23,1.36
186,Kitl,"84,788",Group1,879,4.93,2.94,30,1.48
187,Sgk1,"117,721",Group1,"1,367",5.07,3.14,24,1.38
188,Hbs1l,"72,921",Group1,871,4.86,2.94,32,1.51
189,Epb41l2,"163,723",Group1,"1,851",5.21,3.27,45,1.65
190,Ahi1,"127,884",Group1,"1,421",5.11,3.15,53,1.72
191,Pde7b,"327,076",Group1,"3,051",5.51,3.48,39,1.59
192,Map7,"133,121",Group1,"1,886",5.12,3.28,23,1.36
193,Stx7,"40,922",Group1,489,4.61,2.69,21,1.32
194,Pex7,"53,791",Group1,567,4.73,2.75,17,1.23
195,Tmcc3,"279,009",Group1,"3,809",5.45,3.58,34,1.53
196,Cep83,"102,201",Group1,721,5.01,2.86,55,1.74
197,Herc4,"74,070",Group1,670,4.87,2.83,41,1.61
198,Slc16a7,"170,197",Group1,"1,628",5.23,3.21,48,1.68
199,Micu1,"161,657",Group1,"2,101",5.21,3.32,27,1.43
200,Srgap1,"266,326",Group1,"3,669",5.43,3.56,122,2.09
201,Usp15,"91,991",Group1,"1,107",4.96,3.04,70,1.85
202,Ptprr,"256,721",Group1,"2,351",5.41,3.37,37,1.57
203,Cobl,"228,354",Group1,"1,463",5.36,3.17,49,1.69
204,Nav3,"774,947",Group1,"5,453",5.89,3.74,21,1.32
205,Cabin1,"118,231",Group1,"1,433",5.07,3.16,51,1.71
206,Vps13d,"222,385",Group1,"1,822",5.35,3.26,33,1.52
207,Dip2a,"85,864",Group1,"1,314",4.93,3.12,66,1.82
208,Hcfc2,"46,270",Group1,433,4.67,2.64,11,1.04
209,Adarb1,"127,546",Group1,"1,410",5.11,3.15,66,1.82
210,Fbxw11,"104,094",Group1,977,5.02,2.99,64,1.81
211,Acsl6,"60,960",Group1,715,4.79,2.85,21,1.32
212,Cyfip2,"119,011",Group1,"1,785",5.08,3.25,31,1.49
213,Sgcd,"1,092,718",Group1,"5,866",6.04,3.77,48,1.68
214,Mapk9,"39,672",Group1,428,4.6,2.63,47,1.67
215,Rasgef1c,"79,161",Group1,994,4.9,3,46,1.66
216,Rnf130,"79,414",Group1,639,4.9,2.81,78,1.89
217,Ascc2,"47,954",Group1,590,4.68,2.77,23,1.36
218,Adcy1,"115,019",Group1,"1,338",5.06,3.13,67,1.83
219,Osbp2,"160,174",Group1,"1,987",5.2,3.3,42,1.62
220,Gabrg2,"90,656",Group1,463,4.96,2.67,10,1
221,Ogdh,"65,011",Group1,643,4.81,2.81,37,1.57
222,Rps6kb1,"45,936",Group1,391,4.66,2.59,47,1.67
223,Galnt10,"142,074",Group1,"2,262",5.15,3.35,71,1.85
224,Acaca,"271,981",Group1,"2,237",5.43,3.35,89,1.95
225,Bzw2,"66,247",Group1,850,4.82,2.93,38,1.58
226,Atxn7l1,"225,494",Group1,"2,830",5.35,3.45,75,1.88
227,Rock2,"92,930",Group1,594,4.97,2.77,92,1.96
228,Snx13,"100,295",Group1,645,5,2.81,72,1.86
229,Nrcam,"273,081",Group1,"2,181",5.44,3.34,46,1.66
230,Abca8b,"63,657",Group1,498,4.8,2.7,17,1.23
231,Map2k6,"126,402",Group1,"1,676",5.1,3.22,43,1.63
232,Itsn2,"121,326",Group1,"1,094",5.08,3.04,17,1.23
233,Rnf144a,"114,292",Group1,"1,167",5.06,3.07,33,1.52
234,Mboat2,"133,520",Group1,"1,642",5.13,3.22,15,1.18
235,Ncoa1,"229,822",Group1,"1,597",5.36,3.2,60,1.78
236,Adcy3,"80,424",Group1,"1,091",4.91,3.04,25,1.4
237,Efr3b,"76,363",Group1,943,4.88,2.97,43,1.63
238,Dnmt3a,"108,438",Group1,"1,651",5.04,3.22,20,1.3
239,Sntg2,"198,895",Group1,"1,539",5.3,3.19,27,1.43
240,Pxdn,"80,052",Group1,"1,007",4.9,3,27,1.43
241,Map3k3,"70,835",Group1,568,4.85,2.75,66,1.82
242,Asic2,"1,088,290",Group1,"9,439",6.04,3.97,44,1.64
243,Ern1,"93,204",Group1,798,4.97,2.9,43,1.63
244,Nf1,"241,921",Group1,"1,840",5.38,3.26,65,1.81
245,Cep112,"435,425",Group1,"3,024",5.64,3.48,47,1.67
246,Pafah1b1,"50,723",Group1,419,4.71,2.62,13,1.11
247,Ankfy1,"82,142",Group1,588,4.91,2.77,33,1.52
248,Ube2o,"43,709",Group1,703,4.64,2.85,52,1.72
249,RP23-207N15.3,"53,532",Group1,469,4.73,2.67,39,1.59
250,Rabep1,"98,329",Group1,754,4.99,2.88,27,1.43
251,Kif1c,"31,418",Group1,486,4.5,2.69,74,1.87
252,Cpd,"68,596",Group1,663,4.84,2.82,33,1.52
253,Spag9,"129,996",Group1,970,5.11,2.99,71,1.85
254,Cacna1g,"65,809",Group1,"1,053",4.82,3.02,76,1.88
255,Myh10,"125,075",Group1,"1,653",5.1,3.22,39,1.59
256,Stat5b,"69,995",Group1,"1,097",4.85,3.04,52,1.72
257,Eftud2,"42,514",Group1,601,4.63,2.78,45,1.65
258,Sel1l,"43,116",Group1,601,4.63,2.78,34,1.53
259,Npas3,"823,500",Group1,"7,402",5.92,3.87,106,2.03
260,Ralgapa1,"218,273",Group1,"1,438",5.34,3.16,30,1.48
261,Nova1,"124,414",Group1,825,5.09,2.92,144,2.16
262,Ppp2r5e,"145,366",Group1,"1,165",5.16,3.07,79,1.9
263,Sptb,"130,061",Group1,"2,054",5.11,3.31,49,1.69
264,Fut8,"238,215",Group1,"1,276",5.38,3.11,34,1.53
265,Atl1,"73,805",Group1,765,4.87,2.88,36,1.56
266,Rtn1,"197,304",Group1,"2,296",5.3,3.36,17,1.23
267,Clmn,"101,961",Group1,"1,486",5.01,3.17,45,1.65
268,Hif1a,"46,157",Group1,417,4.66,2.62,20,1.3
269,Galnt16,"112,697",Group1,"1,274",5.05,3.11,29,1.46
270,Wdr37,"68,943",Group1,696,4.84,2.84,8,0.9
271,Esyt2,"109,856",Group1,678,5.04,2.83,59,1.77
272,Tdp1,"70,704",Group1,"1,000",4.85,3,82,1.91
273,Rps6ka5,"178,546",Group1,"1,288",5.25,3.11,24,1.38
274,Pfkp,"69,011",Group1,768,4.84,2.89,41,1.61
275,Unc79,"235,208",Group1,"2,648",5.37,3.42,36,1.56
276,Ppp4r4,"81,550",Group1,653,4.91,2.81,37,1.57
277,Tshz3,"75,437",Group1,"1,164",4.88,3.07,162,2.21
278,Rgs6,"573,766",Group1,"5,208",5.76,3.72,25,1.4
279,Dpf3,"273,973",Group1,"3,034",5.44,3.48,60,1.78
280,Numb,"127,902",Group1,930,5.11,2.97,42,1.62
281,Ylpm1,"74,196",Group1,621,4.87,2.79,33,1.52
282,Cyp46a1,"27,855",Group1,405,4.44,2.61,94,1.97
283,Evl,"133,798",Group1,"1,286",5.13,3.11,45,1.65
284,Meg3,"30,727",Group1,460,4.49,2.66,57,1.76
285,Tecpr2,"83,132",Group1,866,4.92,2.94,65,1.81
286,Traf3,"100,785",Group1,"1,357",5,3.13,100,2
287,Cdc42bpb,"84,744",Group1,"1,819",4.93,3.26,92,1.96
288,Hecw1,"296,792",Group1,"1,468",5.47,3.17,23,1.36
289,Ryr2,"553,845",Group1,"4,108",5.74,3.61,42,1.62
290,Amph,"202,718",Group1,"1,675",5.31,3.22,14,1.15
291,Lrrc16a,"268,453",Group1,"2,665",5.43,3.43,80,1.9
292,Gcnt2,"101,140",Group1,"1,264",5,3.1,23,1.36
293,Hivep1,"140,518",Group1,"1,536",5.15,3.19,87,1.94
294,Cap2,"148,435",Group1,"1,884",5.17,3.28,25,1.4
295,Kif13a,"180,782",Group1,"2,619",5.26,3.42,93,1.97
296,Fars2,"608,870",Group1,"4,432",5.78,3.65,48,1.68
297,Shc3,"138,380",Group1,"1,420",5.14,3.15,32,1.51
298,Sema4d,"108,220",Group1,"1,571",5.03,3.2,21,1.32
299,AC130827.2,"361,205",Group1,"3,176",5.56,3.5,32,1.51
300,Sfxn1,"36,475",Group1,533,4.56,2.73,47,1.67
301,Fam193b,"31,806",Group1,409,4.5,2.61,41,1.61
302,Ptdss1,"65,573",Group1,516,4.82,2.71,32,1.51
303,Adcy2,"379,500",Group1,"2,898",5.58,3.46,41,1.61
304,Agtpbp1,"139,487",Group1,"1,687",5.14,3.23,115,2.06
305,Tppp,"26,348",Group1,324,4.42,2.51,42,1.62
306,Nsun2,"102,036",Group1,"1,607",5.01,3.21,73,1.86
307,Mctp1,"647,277",Group1,"3,530",5.81,3.55,69,1.84
308,Slf1,"92,387",Group1,502,4.97,2.7,45,1.65
309,Arhgef28,"306,972",Group1,"3,723",5.49,3.57,49,1.69
310,Col4a3bp,"97,551",Group1,741,4.99,2.87,41,1.61
311,Iqgap2,"264,747",Group1,"2,923",5.42,3.47,73,1.86
312,Pde8b,"225,884",Group1,"2,163",5.35,3.34,25,1.4
313,Pde4d,"1,503,515",Group1,"12,022",6.18,4.08,23,1.36
314,Rab3c,"226,811",Group1,"1,835",5.36,3.26,23,1.36
315,Zfyve16,"43,762",Group1,322,4.64,2.51,52,1.72
316,Rasgrf2,"251,258",Group1,"1,596",5.4,3.2,53,1.72
317,Erbb2ip,"101,729",Group1,663,5.01,2.82,208,2.32
318,Rnf180,"164,816",Group1,"1,293",5.22,3.11,23,1.36
319,Parp8,"170,719",Group1,"1,679",5.23,3.23,77,1.89
320,Emb,"65,881",Group1,771,4.82,2.89,23,1.36
321,Hcn1,"385,100",Group1,"2,111",5.59,3.32,25,1.4
322,Slc4a7,"97,663",Group1,735,4.99,2.87,9,0.95
323,Ptprg,"688,511",Group1,"6,343",5.84,3.8,87,1.94
324,RP23-466M3.1,"235,050",Group1,"1,888",5.37,3.28,42,1.62
325,Thrb,"377,831",Group1,"2,058",5.58,3.31,42,1.62
326,Ecd,"28,271",Group1,369,4.45,2.57,45,1.65
327,Camk2g,"59,215",Group1,843,4.77,2.93,52,1.72
328,Vcl,"104,280",Group1,780,5.02,2.89,56,1.75
329,Txndc16,"86,865",Group1,808,4.94,2.91,45,1.65
330,Samd4,"222,963",Group1,"2,758",5.35,3.44,84,1.92
331,Ktn1,"91,448",Group1,898,4.96,2.95,26,1.41
332,Slc35f4,"227,529",Group1,"1,421",5.36,3.15,12,1.08
333,Slmap,"121,765",Group1,"1,072",5.09,3.03,28,1.45
334,Arhgef3,"289,014",Group1,"3,083",5.46,3.49,49,1.69
335,Mapk8,"69,262",Group1,457,4.84,2.66,61,1.79
336,Cryl1,"123,538",Group1,"1,374",5.09,3.14,34,1.53
337,Zdhhc20,"57,575",Group1,511,4.76,2.71,41,1.61
338,Extl3,"97,797",Group1,"1,333",4.99,3.12,43,1.63
339,Atp8a2,"558,641",Group1,"5,638",5.75,3.75,19,1.28
340,Cacna2d3,"816,923",Group1,"6,001",5.91,3.78,147,2.17
341,Mipep,"120,907",Group1,"1,409",5.08,3.15,35,1.54
342,Enox1,"564,999",Group1,"6,281",5.75,3.8,73,1.86
343,Klhl1,"416,368",Group1,"2,045",5.62,3.31,18,1.26
344,Ppp3cc,"71,608",Group1,593,4.85,2.77,48,1.68
345,Gfra2,"89,720",Group1,771,4.95,2.89,87,1.94
346,Rb1,"142,151",Group1,"1,253",5.15,3.1,97,1.99
347,Gpc5,"1,432,966",Group1,"8,467",6.16,3.93,29,1.46
348,Slc7a8,"59,739",Group1,775,4.78,2.89,34,1.53
349,Acin1,"44,772",Group1,627,4.65,2.8,24,1.38
350,Oxct1,"128,963",Group1,"1,184",5.11,3.07,33,1.52
351,Pdzd2,"380,215",Group1,"4,885",5.58,3.69,46,1.66
352,Zfr,"67,854",Group1,556,4.83,2.75,60,1.78
353,Sema5a,"451,533",Group1,"3,164",5.65,3.5,53,1.72
354,Ctnnd2,"856,750",Group1,"7,346",5.93,3.87,48,1.68
355,Sdc2,"114,214",Group1,543,5.06,2.73,13,1.11
356,Trio,"295,199",Group1,"4,689",5.47,3.67,57,1.76
357,11-Mar,"100,530",Group1,791,5,2.9,52,1.72
358,Retreg1,"130,509",Group1,"1,735",5.12,3.24,40,1.6
359,Zfpm2,"449,559",Group1,"2,866",5.65,3.46,40,1.6
360,Oxr1,"413,568",Group1,"3,075",5.62,3.49,67,1.83
361,Csmd3,"1,211,428",Group1,"5,126",6.08,3.71,40,1.6
362,Cdh10,"195,291",Group1,"1,169",5.29,3.07,27,1.43
363,Matn2,"129,598",Group1,908,5.11,2.96,32,1.51
364,Stk3,"303,427",Group1,"2,073",5.48,3.32,13,1.11
365,Mtss1,"140,773",Group1,"2,387",5.15,3.38,92,1.96
366,Adcy8,"225,214",Group1,"1,426",5.35,3.15,70,1.85
367,Asap1,"296,064",Group1,"3,371",5.47,3.53,31,1.49
368,Fam49b,"131,383",Group1,"1,376",5.12,3.14,53,1.72
369,Syngr1,"28,169",Group1,487,4.45,2.69,65,1.81
370,Cacna1i,"111,043",Group1,"1,710",5.05,3.23,36,1.56
371,Deptor,"146,956",Group1,"1,649",5.17,3.22,26,1.41
372,Enpp2,"113,993",Group1,"1,033",5.06,3.01,25,1.4
373,Efcab6,"198,669",Group1,"2,707",5.3,3.43,20,1.3
374,Myh9,"81,590",Group1,"1,412",4.91,3.15,59,1.77
375,Nell2,"453,331",Group1,"4,163",5.66,3.62,32,1.51
376,3-Sep,"19,683",Group1,302,4.29,2.48,27,1.43
377,Shisa9,"286,791",Group1,"1,794",5.46,3.25,59,1.77
378,Il1rap,"148,415",Group1,978,5.17,2.99,51,1.71
379,Fgf12,"592,972",Group1,"4,513",5.77,3.65,48,1.68
380,Ptk2,"218,180",Group1,"1,505",5.34,3.18,49,1.69
381,Shank3,"60,640",Group1,"1,302",4.78,3.11,105,2.02
382,Kif21a,"116,674",Group1,"1,620",5.07,3.21,48,1.68
383,Alcam,"205,080",Group1,"1,577",5.31,3.2,26,1.41
384,Cblb,"176,825",Group1,"1,795",5.25,3.25,11,1.04
385,Sidt1,"93,018",Group1,936,4.97,2.97,28,1.45
386,Gbe1,"255,769",Group1,"2,382",5.41,3.38,21,1.32
387,Zbtb20,"766,723",Group1,"5,258",5.88,3.72,68,1.83
388,Ncam2,"426,133",Group1,"2,168",5.63,3.34,48,1.68
389,Dlg1,"211,688",Group1,"1,589",5.33,3.2,40,1.6
390,Senp5,"43,617",Group1,486,4.64,2.69,25,1.4
391,Fgd4,"183,634",Group1,"1,022",5.26,3.01,20,1.3
392,Lrch3,"101,549",Group1,960,5.01,2.98,39,1.59
393,Snx4,"48,829",Group1,508,4.69,2.71,42,1.62
394,Stxbp5l,"270,022",Group1,"1,247",5.43,3.1,38,1.58
395,Dgkg,"188,762",Group1,"2,064",5.28,3.31,40,1.6
396,Cxadr,"58,287",Group1,958,4.77,2.98,32,1.51
397,Usp25,"103,076",Group1,"1,108",5.01,3.04,45,1.65
398,Robo1,"737,791",Group1,"6,651",5.87,3.82,12,1.08
399,App,"224,083",Group1,"2,780",5.35,3.44,54,1.73
400,Arl13b,"53,357",Group1,448,4.73,2.65,23,1.36
