gene_id,group,mc_type,var_dim,gene_type,Correlation_5mC,new.P.value_5mC,new.P.adjust_5mC,Correlation_5hmC,new.P.value_5hmC,new.P.adjust_5hmC,Correlation_mC_hmC,new.P.value_mC_hmC,new.P.adjust_mC_hmC,gene_name,Gene_length,Cpg_number
ENSMUSG00000022019.16,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.00 ,0.56 ,0.61 ,-0.01 ,0.04 ,0.06 ,Tdrd3,"128,867","1,120"
ENSMUSG00000022024.10,[5mCG -],CG,genebody,all_gene,-0.01 ,0.04 ,0.05 ,0.01 ,0.11 ,0.15 ,-0.01 ,0.10 ,0.14 ,Sugt1,"47,507",392
ENSMUSG00000022043.19,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.06 ,0.07 ,-0.01 ,0.09 ,0.12 ,-0.02 ,0.00 ,0.00 ,Trim35,"14,395",221
ENSMUSG00000022387.17,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.18 ,0.22 ,-0.01 ,0.25 ,0.31 ,Brd1,"47,201",850
ENSMUSG00000022401.12,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.02 ,0.01 ,0.32 ,0.38 ,-0.01 ,0.06 ,0.09 ,Xpnpep3,"57,346",472
ENSMUSG00000022433.19,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.16 ,0.20 ,-0.01 ,0.08 ,0.11 ,Csnk1e,"37,712",709
ENSMUSG00000022477.13,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.01 ,0.01 ,0.30 ,0.35 ,-0.01 ,0.28 ,0.34 ,Aco2,"42,826",417
ENSMUSG00000022498.16,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.12 ,0.15 ,-0.01 ,0.10 ,0.14 ,Txndc11,"59,741",512
ENSMUSG00000022601.11,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.05 ,0.07 ,-0.01 ,0.05 ,0.07 ,Zbtb11,"35,032",388
ENSMUSG00000022674.15,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.03 ,0.01 ,0.10 ,0.13 ,-0.01 ,0.24 ,0.30 ,Ube2v2,"43,698",278
ENSMUSG00000022685.9,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.19 ,0.24 ,-0.01 ,0.07 ,0.10 ,Parn,"130,212","1,030"
ENSMUSG00000022837.14,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.02 ,0.00 ,0.41 ,0.46 ,-0.01 ,0.26 ,0.32 ,Iqcb1,"44,338",209
ENSMUSG00000022897.15,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.27 ,0.30 ,0.01 ,0.03 ,0.05 ,0.00 ,0.45 ,0.52 ,Dyrk1a,"125,509","1,248"
ENSMUSG00000022961.18,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.05 ,0.06 ,0.00 ,0.58 ,0.63 ,-0.01 ,0.02 ,0.03 ,Son,"31,717",449
ENSMUSG00000023764.18,[5hmCG -],CG,genebody,all_gene,0.00 ,0.77 ,0.78 ,-0.01 ,0.00 ,0.01 ,-0.01 ,0.16 ,0.22 ,Sfi1,"61,615",589
ENSMUSG00000023845.7,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.02 ,0.01 ,0.16 ,0.21 ,-0.01 ,0.15 ,0.20 ,Lnpep,"103,642",777
ENSMUSG00000023852.14,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.04 ,0.05 ,0.02 ,0.00 ,0.00 ,-0.01 ,0.13 ,0.17 ,Chd1,"67,645",819
ENSMUSG00000024091.8,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.13 ,0.15 ,0.00 ,0.75 ,0.79 ,-0.01 ,0.02 ,0.02 ,Vapa,"33,501",364
ENSMUSG00000024259.8,[5mCG -],CG,genebody,all_gene,-0.02 ,0.01 ,0.01 ,0.01 ,0.11 ,0.15 ,-0.01 ,0.06 ,0.08 ,Slc25a46,"29,736",264
ENSMUSG00000024290.8,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.03 ,0.01 ,0.07 ,0.09 ,0.00 ,0.51 ,0.58 ,Rock1,"117,393",699
ENSMUSG00000024346.5,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.01 ,0.06 ,0.08 ,0.00 ,0.98 ,0.98 ,Pfdn1,"50,818",515
ENSMUSG00000024360.7,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.01 ,0.20 ,0.25 ,-0.01 ,0.34 ,0.41 ,Etf1,"29,224",340
ENSMUSG00000024400.15,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.05 ,0.07 ,0.00 ,0.50 ,0.56 ,Wdr33,"104,932",989
ENSMUSG00000024404.6,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.04 ,0.05 ,-0.01 ,0.04 ,0.06 ,Riok3,"28,519",304
ENSMUSG00000024483.18,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.05 ,0.06 ,0.02 ,0.00 ,0.00 ,0.01 ,0.25 ,0.31 ,Ankhd1,"105,932",663
ENSMUSG00000024614.6,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.12 ,0.14 ,0.01 ,0.03 ,0.05 ,0.00 ,0.65 ,0.71 ,Tmx3,"33,115",187
ENSMUSG00000025035.8,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.01 ,0.01 ,0.05 ,0.07 ,-0.01 ,0.12 ,0.16 ,Arl3,"41,978",531
ENSMUSG00000025231.16,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.10 ,0.13 ,-0.01 ,0.06 ,0.09 ,Sufu,"91,910","1,195"
ENSMUSG00000025245.14,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.01 ,0.16 ,0.20 ,-0.01 ,0.10 ,0.14 ,Lztfl1,"23,283",149
ENSMUSG00000025369.15,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.05 ,0.07 ,-0.01 ,0.23 ,0.30 ,Smarcc2,"31,236",479
ENSMUSG00000025393.12,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.15 ,0.17 ,0.00 ,1.00 ,1.00 ,-0.01 ,0.03 ,0.05 ,Atp5b,"7,120",119
ENSMUSG00000025609.15,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.01 ,0.01 ,0.13 ,0.17 ,-0.01 ,0.12 ,0.16 ,Mkln1,"118,078",860
ENSMUSG00000025616.14,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.37 ,0.39 ,0.01 ,0.02 ,0.03 ,0.01 ,0.21 ,0.27 ,Usp16,"28,816",351
ENSMUSG00000025724.12,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.09 ,0.11 ,0.00 ,0.70 ,0.74 ,-0.01 ,0.03 ,0.04 ,Sec11a,"42,893",477
ENSMUSG00000025754.11,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.17 ,0.19 ,0.01 ,0.02 ,0.03 ,0.01 ,0.27 ,0.33 ,Agbl1,"894,813","4,445"
ENSMUSG00000025781.14,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.10 ,0.12 ,0.00 ,0.41 ,0.46 ,-0.01 ,0.02 ,0.03 ,Atp5c1,"24,496",274
ENSMUSG00000025958.14,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.01 ,0.09 ,0.12 ,-0.01 ,0.25 ,0.31 ,Creb1,"71,905",607
ENSMUSG00000026017.13,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.21 ,0.23 ,0.02 ,0.00 ,0.00 ,0.00 ,0.97 ,0.97 ,Carf,"55,708",424
ENSMUSG00000026245.16,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.18 ,0.20 ,0.01 ,0.01 ,0.02 ,0.01 ,0.25 ,0.31 ,Farsb,"70,924",725
ENSMUSG00000026349.14,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.10 ,0.12 ,-0.01 ,0.28 ,0.33 ,-0.02 ,0.00 ,0.01 ,Ccnt2,"33,899",315
ENSMUSG00000026502.13,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.01 ,0.18 ,0.23 ,-0.01 ,0.25 ,0.31 ,Desi2,"69,886",571
ENSMUSG00000026568.6,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.03 ,0.01 ,0.28 ,0.34 ,-0.01 ,0.08 ,0.12 ,Mpc2,"20,579",178
ENSMUSG00000026743.16,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.05 ,0.07 ,-0.01 ,0.06 ,0.08 ,Mllt10,"157,153","1,401"
ENSMUSG00000026753.5,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.12 ,0.13 ,0.00 ,0.57 ,0.62 ,-0.01 ,0.03 ,0.05 ,Ppp6c,"32,099",267
ENSMUSG00000026761.12,[5mCG -],CG,genebody,all_gene,-0.01 ,0.04 ,0.04 ,0.01 ,0.13 ,0.17 ,0.00 ,0.61 ,0.67 ,Orc4,"47,455",283
ENSMUSG00000026775.9,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.02 ,0.01 ,0.10 ,0.13 ,-0.01 ,0.37 ,0.44 ,Yme1l1,"42,893",293
ENSMUSG00000026819.15,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.00 ,0.87 ,0.89 ,-0.01 ,0.11 ,0.15 ,Slc25a25,"36,960",457
ENSMUSG00000026933.17,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.01 ,0.20 ,0.24 ,-0.01 ,0.25 ,0.31 ,Camsap1,"56,446",630
ENSMUSG00000027166.14,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.01 ,0.01 ,0.05 ,0.08 ,-0.01 ,0.26 ,0.32 ,Dnajc24,"36,842",222
ENSMUSG00000027167.11,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.09 ,0.11 ,0.00 ,1.00 ,1.00 ,Elp4,"203,539","1,234"
ENSMUSG00000027201.16,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.00 ,0.77 ,0.80 ,-0.01 ,0.11 ,0.16 ,Myef2,"39,035",370
ENSMUSG00000027244.14,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.13 ,0.15 ,0.01 ,0.01 ,0.02 ,0.00 ,0.52 ,0.59 ,Atg13,"35,960",371
ENSMUSG00000027248.13,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.03 ,0.01 ,0.17 ,0.22 ,-0.01 ,0.11 ,0.15 ,Pdia3,"24,914",249
ENSMUSG00000027281.16,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.07 ,0.08 ,0.02 ,0.00 ,0.00 ,0.00 ,0.73 ,0.78 ,Slx4ip,"180,734","1,074"
ENSMUSG00000027361.15,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.14 ,0.15 ,0.01 ,0.02 ,0.03 ,0.00 ,0.99 ,0.99 ,Gabpb1,"48,897",607
ENSMUSG00000027522.15,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.06 ,0.07 ,0.01 ,0.01 ,0.01 ,0.00 ,0.46 ,0.53 ,Stx16,"23,465",311
ENSMUSG00000027550.14,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.24 ,0.26 ,0.02 ,0.00 ,0.00 ,0.00 ,0.82 ,0.86 ,Lrrcc1,"38,872",267
ENSMUSG00000027722.14,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.02 ,0.01 ,0.14 ,0.18 ,0.00 ,0.37 ,0.44 ,Spata5,"159,202",907
ENSMUSG00000027782.10,[5mCG -],CG,genebody,all_gene,-0.02 ,0.01 ,0.01 ,0.01 ,0.04 ,0.06 ,-0.01 ,0.15 ,0.19 ,Kpna4,"59,966",423
ENSMUSG00000027810.14,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.03 ,0.01 ,0.14 ,0.17 ,-0.01 ,0.04 ,0.07 ,Eif2a,"31,682",286
ENSMUSG00000028020.16,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.10 ,0.13 ,-0.01 ,0.16 ,0.21 ,Glrb,"70,063",485
ENSMUSG00000028032.13,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.30 ,0.36 ,-0.01 ,0.06 ,0.08 ,Papss1,"78,905","1,075"
ENSMUSG00000028034.15,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.05 ,0.05 ,0.00 ,0.42 ,0.48 ,-0.02 ,0.01 ,0.01 ,Fubp1,"26,406",304
ENSMUSG00000028053.13,[(5mCG+5hmCG) -],CG,genebody,all_gene,0.00 ,0.52 ,0.55 ,0.00 ,0.65 ,0.69 ,-0.02 ,0.00 ,0.00 ,Ash1l,"128,755","1,013"
ENSMUSG00000028106.13,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.07 ,0.08 ,0.02 ,0.00 ,0.01 ,0.00 ,0.69 ,0.75 ,Rprd2,"58,524",544
ENSMUSG00000028137.9,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.25 ,0.27 ,-0.01 ,0.13 ,0.17 ,-0.01 ,0.02 ,0.03 ,Celf3,"13,905",229
ENSMUSG00000028414.17,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.18 ,0.22 ,-0.01 ,0.11 ,0.15 ,Fktn,"63,894",621
ENSMUSG00000028483.13,[5mCG -],CG,genebody,all_gene,-0.02 ,0.01 ,0.01 ,0.01 ,0.27 ,0.32 ,-0.01 ,0.19 ,0.24 ,Snapc3,"49,954",503
ENSMUSG00000028522.16,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.05 ,0.06 ,0.02 ,0.00 ,0.00 ,0.00 ,0.78 ,0.82 ,Mier1,"51,366",556
ENSMUSG00000028580.15,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.03 ,0.00 ,0.47 ,0.53 ,0.00 ,0.38 ,0.45 ,Pum1,"118,245","1,012"
ENSMUSG00000028639.14,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.03 ,0.01 ,0.10 ,0.13 ,-0.01 ,0.10 ,0.13 ,Ybx1,"16,625",282
ENSMUSG00000028830.14,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.15 ,0.17 ,-0.01 ,0.15 ,0.19 ,-0.01 ,0.03 ,0.05 ,RP23-273D6.2,"116,528","1,272"
ENSMUSG00000029049.14,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.14 ,0.15 ,0.02 ,0.00 ,0.00 ,0.01 ,0.12 ,0.17 ,Morn1,"58,930",839
ENSMUSG00000029063.16,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.07 ,0.08 ,0.02 ,0.00 ,0.00 ,0.00 ,0.72 ,0.77 ,Nadk,"28,625",424
ENSMUSG00000029169.11,[5hmCG -],CG,genebody,all_gene,0.00 ,0.42 ,0.44 ,-0.02 ,0.01 ,0.01 ,0.00 ,0.45 ,0.52 ,Dhx15,"40,313",324
ENSMUSG00000029238.11,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.00 ,0.63 ,0.68 ,-0.01 ,0.08 ,0.12 ,Clock,"94,926",931
ENSMUSG00000029253.12,[5hmCG +],CG,genebody,all_gene,0.00 ,0.85 ,0.87 ,0.01 ,0.00 ,0.01 ,0.01 ,0.32 ,0.38 ,Cenpc1,"53,561",411
