"gene_id","gene_name","type","Gene_length","Cpg_number"
"ENSMUSG00000097893.8","RP23-228O9.1","geneslop2k",48277,261
"ENSMUSG00000025915.14","Sgk3","geneslop2k",106739,716
"ENSMUSG00000046334.4","RP23-228O9.3","geneslop2k",4357,33
"ENSMUSG00000088916.1","Gm22607","geneslop2k",4105,22
"ENSMUSG00000046101.16","Mcmdc2","geneslop2k",37448,172
"ENSMUSG00000098234.7","Snhg6","geneslop2k",6160,77
"ENSMUSG00000093178.1","Snord87","geneslop2k",4087,73
"ENSMUSG00000099032.2","Tcf24","geneslop2k",11770,231
"ENSMUSG00000104025.1","RP23-228G18.3","geneslop2k",5374,170
"ENSMUSG00000025916.10","Ppp1r42","geneslop2k",44513,402
"ENSMUSG00000087199.1","AC102570.3","geneslop2k",13980,64
"ENSMUSG00000095780.1","Gm24674","geneslop2k",4104,41
"ENSMUSG00000025917.9","Cops5","geneslop2k",17568,227
"ENSMUSG00000056763.16","Cspp1","geneslop2k",102782,629
"ENSMUSG00000102356.1","RP23-228G18.5","geneslop2k",4920,26
"ENSMUSG00000067851.11","Arfgef1","geneslop2k",99100,547
"ENSMUSG00000088153.1","Gm26348","geneslop2k",4240,11
"ENSMUSG00000102556.1","RP24-327F2.1","geneslop2k",5722,17
"ENSMUSG00000042501.12","Cpa6","geneslop2k",399226,800
"ENSMUSG00000103810.1","RP23-418C16.1","geneslop2k",6745,7
"ENSMUSG00000083422.1","AC102469.1","geneslop2k",5456,7
"ENSMUSG00000094979.1","Gm25253","geneslop2k",4107,5
"ENSMUSG00000081417.1","AC102426.1","geneslop2k",4492,49
"ENSMUSG00000103448.1","RP24-88A10.2","geneslop2k",5922,27
"ENSMUSG00000100212.1","RP24-88A10.1","geneslop2k",5242,73
"ENSMUSG00000100648.1","RP24-467J24.1","geneslop2k",4759,14
"ENSMUSG00000088585.1","Gm22963","geneslop2k",4091,3
"ENSMUSG00000048960.13","Prex2","geneslop2k",314217,1090
"ENSMUSG00000077318.1","Gm24173","geneslop2k",4128,11
"ENSMUSG00000101827.1","RP24-427A3.1","geneslop2k",4609,10
"ENSMUSG00000103494.1","RP23-366M5.2","geneslop2k",7039,7
"ENSMUSG00000057715.13","AC103635.1","geneslop2k",565797,1048
"ENSMUSG00000103825.1","RP23-2K13.1","geneslop2k",6471,42
"ENSMUSG00000099845.1","RP24-467J24.2","geneslop2k",4262,13
"ENSMUSG00000103561.1","RP24-239K20.1","geneslop2k",6144,7
"ENSMUSG00000101610.1","RP23-334J7.1","geneslop2k",4873,27
"ENSMUSG00000093864.1","Gm22633","geneslop2k",4107,1
"ENSMUSG00000098555.1","Mir6341","geneslop2k",4121,9
"ENSMUSG00000097628.1","RP23-138D5.1","geneslop2k",4807,25
"ENSMUSG00000098163.1","RP24-331K22.1","geneslop2k",4687,8
"ENSMUSG00000097171.1","RP24-331K22.3","geneslop2k",9528,31
"ENSMUSG00000101314.1","RP24-331K22.2","geneslop2k",4853,27
"ENSMUSG00000016918.15","Sulf1","geneslop2k",172916,1343
"ENSMUSG00000025938.16","Slco5a1","geneslop2k",130102,811
"ENSMUSG00000104518.1","RP24-178B14.2","geneslop2k",4551,9
"ENSMUSG00000069620.6","RP24-178B14.3","geneslop2k",4321,17
"ENSMUSG00000099498.1","RP24-178B14.1","geneslop2k",13825,79
"ENSMUSG00000042414.7","Prdm14","geneslop2k",17707,258
"ENSMUSG00000005886.14","Ncoa2","geneslop2k",238979,2315
"ENSMUSG00000103506.1","RP23-93D12.2","geneslop2k",6253,65
"ENSMUSG00000103495.1","RP23-93D12.1","geneslop2k",5626,36
"ENSMUSG00000099183.1","Gm27881","geneslop2k",4082,28
"ENSMUSG00000102639.1","RP23-125I14.4","geneslop2k",4695,46
"ENSMUSG00000104170.1","RP23-125I14.3","geneslop2k",5872,52
"ENSMUSG00000087782.1","Gm23169","geneslop2k",4112,22
"ENSMUSG00000103085.1","RP23-125I14.2","geneslop2k",8642,68
"ENSMUSG00000102664.1","RP23-125I14.1","geneslop2k",6248,53
"ENSMUSG00000101476.1","RP23-125I14.5","geneslop2k",16344,132
"ENSMUSG00000101171.1","RP23-125I14.6","geneslop2k",4644,29
"ENSMUSG00000025935.10","Tram1","geneslop2k",29213,419
"ENSMUSG00000025937.6","Lactb2","geneslop2k",41217,311
"ENSMUSG00000102982.1","RP23-70F22.2","geneslop2k",5266,38
"ENSMUSG00000067813.3","Xkr9","geneslop2k",36953,77
"ENSMUSG00000077368.1","Gm26273","geneslop2k",4131,22
"ENSMUSG00000097711.1","RP23-70F22.1","geneslop2k",4997,62
"ENSMUSG00000102166.1","RP23-74B7.1","geneslop2k",6249,63
"ENSMUSG00000089358.1","Gm25491","geneslop2k",4308,17
"ENSMUSG00000104209.1","RP24-335B5.1","geneslop2k",7605,38
"ENSMUSG00000025932.14","Eya1","geneslop2k",145282,887
"ENSMUSG00000095853.1","Gm22616","geneslop2k",4100,34
"ENSMUSG00000102588.1","RP24-291C20.1","geneslop2k",4439,18
"ENSMUSG00000054493.2","RP24-356G6.1","geneslop2k",27995,249
"ENSMUSG00000025930.6","Msc","geneslop2k",6647,147
"ENSMUSG00000103492.1","RP23-398C14.1","geneslop2k",8321,31
"ENSMUSG00000081201.1","Smt3h2-ps4","geneslop2k",4288,36
"ENSMUSG00000082193.1","Rpl5-ps1","geneslop2k",4894,32
"ENSMUSG00000032769.4","Trpa1","geneslop2k",50215,266
"ENSMUSG00000088159.1","Gm26345","geneslop2k",4120,10
"ENSMUSG00000073737.3","RP23-143L15.1","geneslop2k",4996,38
"ENSMUSG00000092083.4","Kcnb2","geneslop2k",440497,1574
"ENSMUSG00000102937.1","RP23-445B17.1","geneslop2k",5533,14
"ENSMUSG00000104149.1","RP24-66C10.4","geneslop2k",6089,21
"ENSMUSG00000088829.1","Gm25227","geneslop2k",4112,13
"ENSMUSG00000077377.1","Gm25168","geneslop2k",4132,2
"ENSMUSG00000101652.1","RP23-325F17.2","geneslop2k",4547,1
"ENSMUSG00000100814.1","RP23-325F17.1","geneslop2k",4100,1
"ENSMUSG00000025925.14","Terf1","geneslop2k",42407,156
"ENSMUSG00000104379.1","RP23-325F17.4","geneslop2k",7169,38
"ENSMUSG00000032719.4","Sbspon","geneslop2k",42861,234
"ENSMUSG00000088943.1","Gm23259","geneslop2k",4303,15
"ENSMUSG00000100652.1","RP24-178O17.1","geneslop2k",4553,26
"ENSMUSG00000067795.13","AC162442.2","geneslop2k",31347,151
"ENSMUSG00000043716.13","Rpl7","geneslop2k",7368,268
"ENSMUSG00000025921.7","Rdh10","geneslop2k",31961,443
"ENSMUSG00000104165.1","RP24-178O17.2","geneslop2k",6321,20
"ENSMUSG00000100868.1","RP24-73D23.1","geneslop2k",19557,140
"ENSMUSG00000025920.19","Stau2","geneslop2k",295439,1173
"ENSMUSG00000089982.7","AC167117.2","geneslop2k",18330,113
"ENSMUSG00000025939.17","Ube2w","geneslop2k",82700,471
"ENSMUSG00000102457.1","RP23-382H8.2","geneslop2k",6980,163
"ENSMUSG00000079658.9","Eloc","geneslop2k",19318,132
"ENSMUSG00000097744.1","RP23-382H8.4","geneslop2k",8727,86
"ENSMUSG00000100959.1","RP23-382H8.5","geneslop2k",4683,76
"ENSMUSG00000025940.6","Tmem70","geneslop2k",17069,114
"ENSMUSG00000025779.10","Ly96","geneslop2k",25561,103
"ENSMUSG00000100093.1","RP23-470P10.1","geneslop2k",4419,28
"ENSMUSG00000091020.3","RP23-470P10.2","geneslop2k",5860,26
"ENSMUSG00000101640.1","RP24-254D14.3","geneslop2k",197447,496
"ENSMUSG00000104133.1","RP24-254D14.1","geneslop2k",4827,11
"ENSMUSG00000042686.5","Jph1","geneslop2k",137330,543
"ENSMUSG00000100110.1","RP23-110G23.2","geneslop2k",8210,77
"ENSMUSG00000025777.8","Gdap1","geneslop2k",22910,105
"ENSMUSG00000099899.1","RP24-317E22.1","geneslop2k",8701,25
"ENSMUSG00000100272.1","RP24-317E22.2","geneslop2k",4379,7
"ENSMUSG00000100398.1","RP23-215C21.1","geneslop2k",4472,29
"ENSMUSG00000101589.1","Rbm6-ps1","geneslop2k",6870,57
"ENSMUSG00000102048.1","RP23-215C21.3","geneslop2k",4486,12
"ENSMUSG00000089534.1","Gm25166","geneslop2k",4111,5
"ENSMUSG00000067780.3","Pi15","geneslop2k",33039,104
"ENSMUSG00000100053.1","RP23-329F7.2","geneslop2k",29998,69
"ENSMUSG00000085125.7","AC104917.1","geneslop2k",55620,104
"ENSMUSG00000025776.13","Crispld1","geneslop2k",43300,173
"ENSMUSG00000099895.1","RP23-329F7.3","geneslop2k",67503,151
"ENSMUSG00000100554.1","RP24-571A14.1","geneslop2k",5399,13
"ENSMUSG00000099473.1","RP24-571A14.3","geneslop2k",10613,22
"ENSMUSG00000099591.1","RP24-571A14.4","geneslop2k",7671,19
"ENSMUSG00000109887.1","RP24-571A14.6","geneslop2k",68595,249
"ENSMUSG00000102001.1","RP24-571A14.2","geneslop2k",14226,21
"ENSMUSG00000101717.2","RP24-571A14.5","geneslop2k",14170,136
"ENSMUSG00000025774.14","Crisp4","geneslop2k",34712,87
"ENSMUSG00000070977.4","Defb44-ps","geneslop2k",17512,22
"ENSMUSG00000073735.1","Defb18","geneslop2k",4971,11
"ENSMUSG00000067773.6","Defb41","geneslop2k",18159,37
"ENSMUSG00000101685.1","RP24-108N24.2","geneslop2k",4985,15
"ENSMUSG00000101306.1","RP24-284D7.1","geneslop2k",4909,8
"ENSMUSG00000088800.1","Gm24075","geneslop2k",4072,9
"ENSMUSG00000101644.1","RP23-122B3.1","geneslop2k",4112,11
"ENSMUSG00000099433.1","RP23-122B3.2","geneslop2k",4279,6
"ENSMUSG00000089787.2","AC098736.3","geneslop2k",45541,245
"ENSMUSG00000042596.7","Tfap2d","geneslop2k",67325,426
"ENSMUSG00000100720.1","AC098736.2","geneslop2k",4545,35
"ENSMUSG00000025927.13","Tfap2b","geneslop2k",33663,499
"ENSMUSG00000100538.1","RP24-119I6.2","geneslop2k",5045,62
"ENSMUSG00000101117.1","RP24-119I6.4","geneslop2k",4472,7
"ENSMUSG00000100204.1","RP24-119I6.5","geneslop2k",6246,66
"ENSMUSG00000084668.1","Gm24633","geneslop2k",4065,13
"ENSMUSG00000102597.1","RP24-132H2.1","geneslop2k",6499,22
"ENSMUSG00000043760.16","Pkhd1","geneslop2k",564286,1793
"ENSMUSG00000104095.1","RP23-245C4.1","geneslop2k",7479,14
"ENSMUSG00000089914.2","AC101789.2","geneslop2k",39849,72
"ENSMUSG00000090142.2","AC101789.1","geneslop2k",4553,15
"ENSMUSG00000070175.1","Gm24162","geneslop2k",4102,14
"ENSMUSG00000099906.2","Lincmd1","geneslop2k",18417,110
"ENSMUSG00000065559.1","Mir206","geneslop2k",4073,21
"ENSMUSG00000065480.1","Mir133b","geneslop2k",4119,24
"ENSMUSG00000025929.4","Il17a","geneslop2k",7592,62
"ENSMUSG00000041872.9","Il17f","geneslop2k",17472,132
"ENSMUSG00000041859.10","Mcm3","geneslop2k",21345,300
"ENSMUSG00000099714.1","RP23-191A12.1","geneslop2k",5186,86
"ENSMUSG00000102121.1","RP23-191A12.2","geneslop2k",7029,21
"ENSMUSG00000088858.1","Gm24723","geneslop2k",4132,6
"ENSMUSG00000097934.1","RP23-191A12.5","geneslop2k",5824,111
"ENSMUSG00000025931.15","Paqr8","geneslop2k",53045,534
"ENSMUSG00000077314.1","Gm24171","geneslop2k",4131,27
"ENSMUSG00000100929.1","RP23-191A12.6","geneslop2k",5204,23
"ENSMUSG00000041809.5","Efhc1","geneslop2k",43216,335
"ENSMUSG00000041779.5","Tram2","geneslop2k",86931,836
"ENSMUSG00000099971.1","RP24-278K16.1","geneslop2k",5635,109
"ENSMUSG00000100819.1","RP23-80N7.1","geneslop2k",12440,58
"ENSMUSG00000025933.15","Tmem14a","geneslop2k",15593,105
"ENSMUSG00000102633.1","RP23-278E1.4","geneslop2k",6100,34
"ENSMUSG00000025934.15","Gsta3","geneslop2k",29073,148
"ENSMUSG00000099343.1","RP23-80N7.2","geneslop2k",25235,191
"ENSMUSG00000096375.2","RP23-278E1.5","geneslop2k",4504,67
"ENSMUSG00000025936.15","RP23-278E1.2","geneslop2k",17067,82
"ENSMUSG00000093963.1","RP23-278E1.3","geneslop2k",7804,20
"ENSMUSG00000067750.3","Khdc1a","geneslop2k",6560,22
"ENSMUSG00000086194.1","AC115920.6","geneslop2k",5112,15
"ENSMUSG00000094436.1","AC115920.7","geneslop2k",4228,21
"ENSMUSG00000041722.7","Khdc1c","geneslop2k",6515,22
"ENSMUSG00000085507.1","AC115920.8","geneslop2k",5095,15
"ENSMUSG00000094926.1","AC115920.9","geneslop2k",4228,9
"ENSMUSG00000085079.3","Khdc1b","geneslop2k",6818,19
"ENSMUSG00000085679.2","AC115920.4","geneslop2k",4196,21
"ENSMUSG00000028033.16","Kcnq5","geneslop2k",567540,2196
"ENSMUSG00000104138.1","RP24-496H1.1","geneslop2k",6327,61
"ENSMUSG00000082935.3","AC115920.2","geneslop2k",5124,47
"ENSMUSG00000103748.1","RP23-322P13.2","geneslop2k",5567,13
"ENSMUSG00000097109.1","Gm26580","geneslop2k",6689,176
"ENSMUSG00000099692.1","RP24-78G8.1","geneslop2k",4552,28
"ENSMUSG00000100418.1","RP24-261D2.1","geneslop2k",4447,4
"ENSMUSG00000041670.16","Rims1","geneslop2k",523744,2455
"ENSMUSG00000097642.1","RP23-42E3.1","geneslop2k",4802,24
"ENSMUSG00000101468.1","RP24-495G2.1","geneslop2k",6263,24
"ENSMUSG00000101227.1","RP24-495G2.2","geneslop2k",191379,751
"ENSMUSG00000073730.2","RP24-163I14.1","geneslop2k",5781,69
"ENSMUSG00000089553.1","Gm24176","geneslop2k",4121,9
"ENSMUSG00000102766.1","RP23-28L24.5","geneslop2k",4723,158
"ENSMUSG00000065405.3","Mir30a","geneslop2k",4071,24
"ENSMUSG00000097970.1","RP23-28L24.7","geneslop2k",4399,15
"ENSMUSG00000065567.1","Mir30c-2","geneslop2k",4084,15
"ENSMUSG00000100775.1","RP23-28L24.8","geneslop2k",4347,15
"ENSMUSG00000101226.1","RP23-28L24.9","geneslop2k",4644,27
"ENSMUSG00000026158.11","Ogfrl1","geneslop2k",35349,381
"ENSMUSG00000097920.1","RP24-361E14.1","geneslop2k",4989,11
"ENSMUSG00000099503.1","RP23-25K16.1","geneslop2k",26078,112
"ENSMUSG00000026156.8","B3gat2","geneslop2k",91406,676
"ENSMUSG00000026155.13","Smap1","geneslop2k",81472,442
"ENSMUSG00000026154.4","Sdhaf4","geneslop2k",13718,154
"ENSMUSG00000102495.1","RP24-287C19.1","geneslop2k",4390,68
"ENSMUSG00000026153.15","Fam135a","geneslop2k",93249,559
"ENSMUSG00000102398.1","RP23-255J24.2","geneslop2k",6800,169
"ENSMUSG00000097670.1","RP23-255J24.1","geneslop2k",4867,22
"ENSMUSG00000026147.16","Col9a1","geneslop2k",79075,593
"ENSMUSG00000026141.13","Col19a1","geneslop2k",329583,1898
"ENSMUSG00000077463.1","Gm26418","geneslop2k",4137,42
"ENSMUSG00000099997.1","Tubb4b-ps2","geneslop2k",5337,47
"ENSMUSG00000100131.1","RP23-8J15.7","geneslop2k",4876,51
"ENSMUSG00000067736.2","RP23-8J15.6","geneslop2k",4294,50
"ENSMUSG00000101939.1","RP23-8J15.5","geneslop2k",4345,56
"ENSMUSG00000101111.1","RP23-8J15.4","geneslop2k",4783,70
"ENSMUSG00000100862.1","RP23-8J15.3","geneslop2k",4678,68
"ENSMUSG00000102070.1","RP23-8J15.2","geneslop2k",4681,54
"ENSMUSG00000101249.1","RP23-8J15.1","geneslop2k",4492,42
"ENSMUSG00000073725.8","Lmbrd1","geneslop2k",91672,717
"ENSMUSG00000100808.1","RP23-109H7.1","geneslop2k",5199,6
"ENSMUSG00000100483.1","RP24-178K6.1","geneslop2k",5950,10
"ENSMUSG00000100450.1","RP24-178K6.2","geneslop2k",4816,35
"ENSMUSG00000099392.1","RP24-178K6.3","geneslop2k",4652,21
"ENSMUSG00000033569.17","Adgrb3","geneslop2k",766232,3416
"ENSMUSG00000080849.1","AC122187.1","geneslop2k",4444,30
"ENSMUSG00000104257.1","RP23-21P2.4","geneslop2k",5551,13
"ENSMUSG00000096866.1","Gm22260","geneslop2k",4107,19
"ENSMUSG00000102296.1","RP23-21P2.3","geneslop2k",5031,15
"ENSMUSG00000103209.1","RP23-21P2.2","geneslop2k",7375,24
"ENSMUSG00000104027.1","RP23-21P2.5","geneslop2k",7433,26
"ENSMUSG00000102407.1","RP23-21P2.6","geneslop2k",6533,25
"ENSMUSG00000103214.1","RP23-21P2.7","geneslop2k",7105,39
"ENSMUSG00000104100.1","RP23-21P2.8","geneslop2k",7257,41
"ENSMUSG00000084740.1","Gm25294","geneslop2k",4104,5
"ENSMUSG00000103889.1","RP23-347F2.2","geneslop2k",6935,29
"ENSMUSG00000101301.1","RP23-347F2.3","geneslop2k",4570,28
"ENSMUSG00000104221.1","RP23-347F2.1","geneslop2k",6943,38
"ENSMUSG00000102250.1","RP23-478K4.2","geneslop2k",7995,19
"ENSMUSG00000102317.1","RP23-478K4.1","geneslop2k",9440,38
"ENSMUSG00000103563.1","RP23-478K4.3","geneslop2k",6741,25
"ENSMUSG00000102465.1","RP23-184I13.2","geneslop2k",7581,11
"ENSMUSG00000102659.1","RP23-184I13.3","geneslop2k",7691,25
"ENSMUSG00000103924.1","RP23-184I13.4","geneslop2k",8550,43
"ENSMUSG00000104132.1","RP23-184I13.5","geneslop2k",7625,21
"ENSMUSG00000102747.1","RP23-184I13.6","geneslop2k",7310,34
"ENSMUSG00000102386.1","RP23-184I13.7","geneslop2k",5017,27
"ENSMUSG00000103004.1","RP23-184I13.8","geneslop2k",4330,37
"ENSMUSG00000104516.1","RP23-184I13.1","geneslop2k",5222,134
"ENSMUSG00000101618.1","RP24-228I17.1","geneslop2k",4556,8
"ENSMUSG00000099458.1","RP24-264B17.1","geneslop2k",4651,11
"ENSMUSG00000088111.1","Gm24064","geneslop2k",4106,1
"ENSMUSG00000073722.3","RP24-338N17.1","geneslop2k",9647,19
"ENSMUSG00000095256.1","n-R5s209","geneslop2k",4119,12
"ENSMUSG00000100310.1","RP23-76B18.1","geneslop2k",4417,8
"ENSMUSG00000101514.1","RP24-176K12.1","geneslop2k",22351,60
"ENSMUSG00000101033.1","RP24-176K12.2","geneslop2k",4654,18
"ENSMUSG00000101372.1","RP23-12H12.1","geneslop2k",5873,21
"ENSMUSG00000103241.1","RP23-19M20.2","geneslop2k",5514,6
"ENSMUSG00000086240.4","AC122186.1","geneslop2k",4274,14
"ENSMUSG00000048411.4","Gm597","geneslop2k",8136,29
"ENSMUSG00000081557.2","AC121566.1","geneslop2k",6482,55
"ENSMUSG00000058590.2","RP24-365G17.1","geneslop2k",4304,5
"ENSMUSG00000101235.1","RP24-430C1.1","geneslop2k",4550,12
"ENSMUSG00000064433.1","Gm25586","geneslop2k",4112,3
"ENSMUSG00000080625.1","Gm22679","geneslop2k",4100,5
"ENSMUSG00000080391.1","Gm23785","geneslop2k",4096,2
"ENSMUSG00000099257.1","Mir6342","geneslop2k",4125,16
"ENSMUSG00000099492.1","RP23-313K8.2","geneslop2k",5312,37
"ENSMUSG00000101726.1","RP24-229N7.1","geneslop2k",4622,22
"ENSMUSG00000096829.1","Gm23771","geneslop2k",4110,6
"ENSMUSG00000098883.1","Gm27430","geneslop2k",4107,1
"ENSMUSG00000053185.2","RP24-172B22.1","geneslop2k",5403,19
"ENSMUSG00000100261.1","RP24-172B22.2","geneslop2k",6129,89
"ENSMUSG00000101180.1","RP24-172B22.4","geneslop2k",4328,25
"ENSMUSG00000048874.15","Phf3","geneslop2k",75583,600
"ENSMUSG00000103783.1","RP24-172B22.6","geneslop2k",6884,43
"ENSMUSG00000104315.1","RP23-471J16.2","geneslop2k",7035,32
"ENSMUSG00000026064.15","Ptp4a1","geneslop2k",13469,239
