genebody,chrom,end,start
ENSMUSG00000067879.3,chr1,9627143,9601199
ENSMUSG00000099827.1,chr1,9640582,9639255
ENSMUSG00000025912.16,chr1,9700209,9667415
ENSMUSG00000045210.8,chr1,9748382,9718622
ENSMUSG00000097893.8,chr1,9791924,9747648
ENSMUSG00000025915.14,chr1,9900845,9798107
ENSMUSG00000046334.4,chr1,9802553,9802197
ENSMUSG00000088916.1,chr1,9834602,9834498
ENSMUSG00000046101.16,chr1,9942085,9908638
ENSMUSG00000098234.7,chr1,9944118,9941959
ENSMUSG00000093178.1,chr1,9942549,9942463
ENSMUSG00000099032.2,chr1,9967932,9960163
ENSMUSG00000104025.1,chr1,9968687,9967314
ENSMUSG00000025916.10,chr1,10009136,9968624
ENSMUSG00000087199.1,chr1,9992366,9982387
ENSMUSG00000095780.1,chr1,10009917,10009814
ENSMUSG00000025917.9,chr1,10038168,10024601
ENSMUSG00000056763.16,chr1,10136768,10037987
ENSMUSG00000102356.1,chr1,10057944,10057025
ENSMUSG00000067851.11,chr1,10232670,10137571
ENSMUSG00000088153.1,chr1,10166778,10166539
ENSMUSG00000102556.1,chr1,10198802,10197081
ENSMUSG00000042501.12,chr1,10719945,10324720
ENSMUSG00000103810.1,chr1,10451989,10449245
ENSMUSG00000083422.1,chr1,10555553,10554098
ENSMUSG00000094979.1,chr1,10555660,10555554
ENSMUSG00000081417.1,chr1,10695614,10695123
ENSMUSG00000103448.1,chr1,10784377,10782456
ENSMUSG00000100212.1,chr1,10806522,10805281
ENSMUSG00000100648.1,chr1,10869446,10868688
ENSMUSG00000088585.1,chr1,10921760,10921670
ENSMUSG00000048960.13,chr1,11303681,10993465
ENSMUSG00000077318.1,chr1,11134238,11134111
ENSMUSG00000101827.1,chr1,11224174,11223566
ENSMUSG00000103494.1,chr1,11366964,11363926
ENSMUSG00000057715.13,chr1,11975901,11414105
ENSMUSG00000103825.1,chr1,11419388,11416918
ENSMUSG00000099845.1,chr1,11608400,11608139
ENSMUSG00000103561.1,chr1,11706350,11704207
ENSMUSG00000101610.1,chr1,12121832,12120960
ENSMUSG00000093864.1,chr1,12375042,12374936
ENSMUSG00000098555.1,chr1,12426106,12425986
ENSMUSG00000097628.1,chr1,12566383,12565577
ENSMUSG00000098163.1,chr1,12656553,12655867
ENSMUSG00000097171.1,chr1,12673090,12667563
ENSMUSG00000101314.1,chr1,12671176,12670324
ENSMUSG00000016918.15,chr1,12861192,12692277
ENSMUSG00000025938.16,chr1,12992650,12866549
ENSMUSG00000104518.1,chr1,13059951,13059401
ENSMUSG00000069620.6,chr1,13062345,13062025
ENSMUSG00000099498.1,chr1,13078662,13068838
ENSMUSG00000042414.7,chr1,13127163,13113457
ENSMUSG00000005886.14,chr1,13374083,13139105
ENSMUSG00000103506.1,chr1,13179714,13177462
ENSMUSG00000103495.1,chr1,13236434,13234809
ENSMUSG00000099183.1,chr1,13262279,13262198
ENSMUSG00000102639.1,chr1,13290506,13289812
ENSMUSG00000104170.1,chr1,13298907,13297036
ENSMUSG00000087782.1,chr1,13334609,13334498
ENSMUSG00000103085.1,chr1,13348204,13343563
ENSMUSG00000102664.1,chr1,13356730,13354483
ENSMUSG00000101476.1,chr1,13388413,13376070
ENSMUSG00000101171.1,chr1,13407655,13407012
ENSMUSG00000025935.10,chr1,13589910,13564698
ENSMUSG00000025937.6,chr1,13660546,13623330
ENSMUSG00000102982.1,chr1,13642748,13641483
ENSMUSG00000067813.3,chr1,13701723,13668771
ENSMUSG00000077368.1,chr1,13774464,13774334
ENSMUSG00000097711.1,chr1,13786879,13785883
ENSMUSG00000102166.1,chr1,13849119,13846871
ENSMUSG00000089358.1,chr1,13932685,13932378
ENSMUSG00000104209.1,chr1,14112819,14109215
ENSMUSG00000025932.14,chr1,14310235,14168954
ENSMUSG00000095853.1,chr1,14182677,14182578
ENSMUSG00000102588.1,chr1,14255990,14255552
ENSMUSG00000054493.2,chr1,14776931,14752937
ENSMUSG00000025930.6,chr1,14755992,14753346
ENSMUSG00000103492.1,chr1,14792965,14788645
ENSMUSG00000081201.1,chr1,14840156,14839869
ENSMUSG00000082193.1,chr1,14865965,14865072
ENSMUSG00000032769.4,chr1,14918862,14872648
ENSMUSG00000088159.1,chr1,15019159,15019040
ENSMUSG00000073737.3,chr1,15269797,15268802
ENSMUSG00000092083.4,chr1,15723750,15287254
ENSMUSG00000102937.1,chr1,15365834,15364302
ENSMUSG00000104149.1,chr1,15558337,15556249
ENSMUSG00000088829.1,chr1,15686046,15685935
ENSMUSG00000077377.1,chr1,15757963,15757832
ENSMUSG00000101652.1,chr1,15760668,15760122
ENSMUSG00000100814.1,chr1,15760860,15760761
ENSMUSG00000025925.14,chr1,15844052,15805646
ENSMUSG00000104379.1,chr1,15856499,15853331
ENSMUSG00000032719.4,chr1,15892722,15853862
ENSMUSG00000088943.1,chr1,15879832,15879530
ENSMUSG00000100652.1,chr1,16053887,16053335
ENSMUSG00000067795.13,chr1,16093325,16065979
ENSMUSG00000043716.13,chr1,16104662,16101295
ENSMUSG00000025921.7,chr1,16133734,16105774
ENSMUSG00000104165.1,chr1,16210517,16208197
ENSMUSG00000100868.1,chr1,16244062,16228506
ENSMUSG00000025920.19,chr1,16520112,16228674
ENSMUSG00000089982.7,chr1,16267921,16253592
ENSMUSG00000025939.17,chr1,16619489,16540790
ENSMUSG00000102457.1,chr1,16621539,16618560
ENSMUSG00000079658.9,chr1,16657042,16641725
ENSMUSG00000097744.1,chr1,16662278,16657552
ENSMUSG00000100959.1,chr1,16663662,16662980
ENSMUSG00000025940.6,chr1,16678275,16665207
ENSMUSG00000025779.10,chr1,16709611,16688051
ENSMUSG00000100093.1,chr1,16758623,16758205
ENSMUSG00000091020.3,chr1,16770138,16768279
ENSMUSG00000101640.1,chr1,17091631,16898185
ENSMUSG00000104133.1,chr1,16931796,16930970
ENSMUSG00000042686.5,chr1,17097889,16964560
ENSMUSG00000100110.1,chr1,17128956,17124747
ENSMUSG00000025777.8,chr1,17164271,17145362
ENSMUSG00000099899.1,chr1,17173103,17168403
ENSMUSG00000100272.1,chr1,17250492,17250114
ENSMUSG00000100398.1,chr1,17395429,17394958
ENSMUSG00000101589.1,chr1,17400281,17397412
ENSMUSG00000102048.1,chr1,17429528,17429043
ENSMUSG00000089534.1,chr1,17520111,17520001
ENSMUSG00000067780.3,chr1,17630939,17601901
ENSMUSG00000100053.1,chr1,17641081,17615084
ENSMUSG00000085125.7,chr1,17727646,17676027
ENSMUSG00000025776.13,chr1,17766344,17727045
ENSMUSG00000099895.1,chr1,17805417,17741915
ENSMUSG00000100554.1,chr1,17948439,17947041
ENSMUSG00000099473.1,chr1,17999622,17993010
ENSMUSG00000099591.1,chr1,17997483,17993813
ENSMUSG00000109887.1,chr1,18059056,17994462
ENSMUSG00000102001.1,chr1,18016186,18005961
ENSMUSG00000101717.2,chr1,18058269,18048100
ENSMUSG00000025774.14,chr1,18145902,18115191
ENSMUSG00000070977.4,chr1,18223564,18210053
ENSMUSG00000073735.1,chr1,18237443,18236473
ENSMUSG00000067773.6,chr1,18265138,18250980
ENSMUSG00000101685.1,chr1,18263379,18262395
ENSMUSG00000101306.1,chr1,18709336,18708428
ENSMUSG00000088800.1,chr1,18969833,18969762
ENSMUSG00000101644.1,chr1,19037377,19037266
ENSMUSG00000099433.1,chr1,19063135,19062857
ENSMUSG00000089787.2,chr1,19104840,19063300
ENSMUSG00000042596.7,chr1,19166346,19103022
ENSMUSG00000100720.1,chr1,19153966,19153422
ENSMUSG00000025927.13,chr1,19238576,19208914
ENSMUSG00000100538.1,chr1,19243769,19242725
ENSMUSG00000101117.1,chr1,19320697,19320226
ENSMUSG00000100204.1,chr1,19333184,19330939
ENSMUSG00000084668.1,chr1,19513919,19513855
ENSMUSG00000102597.1,chr1,19616767,19614269
ENSMUSG00000043760.16,chr1,20618064,20057779
ENSMUSG00000104095.1,chr1,20065548,20062070
ENSMUSG00000089914.2,chr1,20392300,20356452
ENSMUSG00000090142.2,chr1,20444810,20444258
ENSMUSG00000070175.1,chr1,20444912,20444811
ENSMUSG00000099906.2,chr1,20684298,20669882
ENSMUSG00000065559.1,chr1,20679082,20679010
ENSMUSG00000065480.1,chr1,20682887,20682769
ENSMUSG00000025929.4,chr1,20734496,20730905
ENSMUSG00000041872.9,chr1,20790617,20777146
ENSMUSG00000041859.10,chr1,20820312,20802968
ENSMUSG00000099714.1,chr1,20822516,20821331
ENSMUSG00000102121.1,chr1,20839689,20836661
ENSMUSG00000088858.1,chr1,20842666,20842535
ENSMUSG00000097934.1,chr1,20890473,20888650
ENSMUSG00000025931.15,chr1,20939650,20890606
ENSMUSG00000077314.1,chr1,20915540,20915410
ENSMUSG00000100929.1,chr1,20946914,20945711
ENSMUSG00000041809.5,chr1,20990841,20951626
ENSMUSG00000041779.5,chr1,21079229,20996299
ENSMUSG00000099971.1,chr1,21081748,21080114
ENSMUSG00000100819.1,chr1,21187427,21178988
ENSMUSG00000025933.15,chr1,21230167,21218575
ENSMUSG00000102633.1,chr1,21236821,21234722
ENSMUSG00000025934.15,chr1,21265661,21240589
ENSMUSG00000099343.1,chr1,21271593,21250359
ENSMUSG00000096375.2,chr1,21272906,21272403
ENSMUSG00000025936.15,chr1,21298312,21285246
ENSMUSG00000093963.1,chr1,21316320,21312517
ENSMUSG00000067750.3,chr1,21352200,21349641
ENSMUSG00000086194.1,chr1,21355116,21354005
ENSMUSG00000094436.1,chr1,21365030,21364803
ENSMUSG00000041722.7,chr1,21370845,21368331
ENSMUSG00000085507.1,chr1,21373764,21372670
ENSMUSG00000094926.1,chr1,21379782,21379555
ENSMUSG00000085079.3,chr1,21386373,21383556
ENSMUSG00000085679.2,chr1,21391101,21390906
ENSMUSG00000028033.16,chr1,21961942,21398403
ENSMUSG00000104138.1,chr1,21457017,21454691
ENSMUSG00000082935.3,chr1,21513056,21511933
ENSMUSG00000103748.1,chr1,21840514,21838948
ENSMUSG00000097109.1,chr1,21962530,21959842
ENSMUSG00000099692.1,chr1,22030615,22030064
ENSMUSG00000100418.1,chr1,22238295,22237849
ENSMUSG00000041670.16,chr1,22805994,22286251
ENSMUSG00000097642.1,chr1,22741565,22740764
ENSMUSG00000101468.1,chr1,22987125,22984863
ENSMUSG00000101227.1,chr1,23235673,23048295
ENSMUSG00000073730.2,chr1,23102253,23100473
ENSMUSG00000089553.1,chr1,23245331,23245211
ENSMUSG00000102766.1,chr1,23256407,23255685
ENSMUSG00000065405.3,chr1,23272339,23272269
ENSMUSG00000097970.1,chr1,23291935,23291537
ENSMUSG00000065567.1,chr1,23291784,23291701
ENSMUSG00000100775.1,chr1,23294075,23293729
ENSMUSG00000101226.1,chr1,23346599,23345956
ENSMUSG00000026158.11,chr1,23397772,23366424
ENSMUSG00000097920.1,chr1,23480527,23479539
ENSMUSG00000099503.1,chr1,23596664,23574587
ENSMUSG00000026156.8,chr1,23849158,23761753
ENSMUSG00000026155.13,chr1,23922317,23844846
ENSMUSG00000026154.4,chr1,24005656,23995939
ENSMUSG00000102495.1,chr1,24005894,24005505
ENSMUSG00000026153.15,chr1,24100341,24011093
ENSMUSG00000102398.1,chr1,24103424,24100625
ENSMUSG00000097670.1,chr1,24126141,24125275
ENSMUSG00000026147.16,chr1,24252684,24177610
ENSMUSG00000026141.13,chr1,24587472,24261890
ENSMUSG00000077463.1,chr1,24548977,24548841
ENSMUSG00000099997.1,chr1,24595423,24594087
ENSMUSG00000100131.1,chr1,24612410,24611535
ENSMUSG00000067736.2,chr1,24612700,24612407
ENSMUSG00000101939.1,chr1,24613119,24612775
ENSMUSG00000101111.1,chr1,24613971,24613189
ENSMUSG00000100862.1,chr1,24614651,24613974
ENSMUSG00000102070.1,chr1,24615565,24614885
ENSMUSG00000101249.1,chr1,24616197,24615706
ENSMUSG00000073725.8,chr1,24766301,24678630
ENSMUSG00000100808.1,chr1,24911659,24910461
ENSMUSG00000100483.1,chr1,24965158,24963209
ENSMUSG00000100450.1,chr1,25012756,25011941
ENSMUSG00000099392.1,chr1,25027232,25026581
ENSMUSG00000033569.17,chr1,25829707,25067476
ENSMUSG00000080849.1,chr1,25224173,25223730
ENSMUSG00000104257.1,chr1,25277954,25276404
ENSMUSG00000096866.1,chr1,25279551,25279445
ENSMUSG00000102296.1,chr1,25285248,25284218
ENSMUSG00000103209.1,chr1,25299886,25296512
ENSMUSG00000104027.1,chr1,25317708,25314276
ENSMUSG00000102407.1,chr1,25328398,25325866
ENSMUSG00000103214.1,chr1,25349082,25345978
ENSMUSG00000104100.1,chr1,25365820,25362564
ENSMUSG00000084740.1,chr1,25451174,25451071
ENSMUSG00000103889.1,chr1,25611184,25608250
ENSMUSG00000101301.1,chr1,25615515,25614946
ENSMUSG00000104221.1,chr1,25623180,25620238
ENSMUSG00000102250.1,chr1,25676239,25672245
ENSMUSG00000102317.1,chr1,25691501,25686062
ENSMUSG00000103563.1,chr1,25724778,25722038
ENSMUSG00000102465.1,chr1,25738969,25735389
ENSMUSG00000102659.1,chr1,25759033,25755343
ENSMUSG00000103924.1,chr1,25780306,25775757
ENSMUSG00000104132.1,chr1,25800905,25797281
ENSMUSG00000102747.1,chr1,25807406,25804097
ENSMUSG00000102386.1,chr1,25809972,25808956
ENSMUSG00000103004.1,chr1,25824719,25824390
ENSMUSG00000104516.1,chr1,25831878,25830657
ENSMUSG00000101618.1,chr1,25997159,25996604
ENSMUSG00000099458.1,chr1,26466886,26466236
ENSMUSG00000088111.1,chr1,26566938,26566833
ENSMUSG00000073722.3,chr1,26687460,26681814
ENSMUSG00000095256.1,chr1,26959221,26959103
ENSMUSG00000100310.1,chr1,27336768,27336352
ENSMUSG00000101514.1,chr1,27902396,27884046
ENSMUSG00000101033.1,chr1,27901072,27900419
ENSMUSG00000101372.1,chr1,27991782,27989910
ENSMUSG00000103241.1,chr1,28571431,28569918
ENSMUSG00000086240.4,chr1,28580772,28580499
ENSMUSG00000048411.4,chr1,28780252,28776117
ENSMUSG00000081557.2,chr1,28802721,28800240
ENSMUSG00000058590.2,chr1,28938339,28938036
ENSMUSG00000101235.1,chr1,29220249,29219700
ENSMUSG00000064433.1,chr1,29281075,29280964
ENSMUSG00000080625.1,chr1,29301579,29301480
ENSMUSG00000080391.1,chr1,29361370,29361275
ENSMUSG00000099257.1,chr1,29421612,29421488
ENSMUSG00000099492.1,chr1,29485915,29484604
ENSMUSG00000101726.1,chr1,29930715,29930094
ENSMUSG00000096829.1,chr1,29986043,29985934
ENSMUSG00000098883.1,chr1,30333397,30333291
ENSMUSG00000053185.2,chr1,30719962,30718560
ENSMUSG00000100261.1,chr1,30771815,30769687
ENSMUSG00000101180.1,chr1,30794875,30794548
ENSMUSG00000048874.15,chr1,30873921,30802339
ENSMUSG00000103783.1,chr1,30836431,30833548
ENSMUSG00000104315.1,chr1,30868538,30865504
ENSMUSG00000026064.15,chr1,30949770,30940302
ENSMUSG00000086151.3,chr1,30977967,30977244
ENSMUSG00000086726.2,chr1,30986952,30986226
ENSMUSG00000087346.2,chr1,30998906,30998184
ENSMUSG00000100371.1,chr1,31096454,31019188
ENSMUSG00000100237.1,chr1,31043675,31041919
ENSMUSG00000098529.1,chr1,31122862,31122725
ENSMUSG00000086727.7,chr1,31222684,31135226
ENSMUSG00000100910.1,chr1,31150105,31136026
ENSMUSG00000099796.1,chr1,31164773,31164549
ENSMUSG00000050217.13,chr1,31204725,31176401
ENSMUSG00000026063.4,chr1,31224288,31222838
ENSMUSG00000077664.1,chr1,31259719,31259593
ENSMUSG00000100205.1,chr1,31267884,31267326
ENSMUSG00000100592.1,chr1,31275455,31274892
ENSMUSG00000094215.2,chr1,31287640,31286945
ENSMUSG00000101093.1,chr1,31561400,31559540
ENSMUSG00000070960.4,chr1,31616661,31615149
ENSMUSG00000088620.1,chr1,31656738,31656632
ENSMUSG00000082159.2,chr1,31736891,31736057
ENSMUSG00000026058.11,chr1,32658568,32172714
ENSMUSG00000064688.1,chr1,32213239,32213133
ENSMUSG00000103482.1,chr1,32475565,32473757
ENSMUSG00000104498.1,chr1,32486942,32485315
ENSMUSG00000104313.1,chr1,32497988,32496444
ENSMUSG00000102865.1,chr1,32520999,32519563
ENSMUSG00000102321.1,chr1,32542440,32539028
ENSMUSG00000091318.2,chr1,32547294,32543686
ENSMUSG00000089489.1,chr1,32568421,32568359
ENSMUSG00000104433.1,chr1,32712648,32710179
ENSMUSG00000089395.1,chr1,32726930,32726639
ENSMUSG00000102926.1,chr1,32972490,32967484
ENSMUSG00000100497.1,chr1,33030290,33028160
ENSMUSG00000102917.1,chr1,33066350,33065130
ENSMUSG00000100481.1,chr1,33102695,33100907
ENSMUSG00000100590.1,chr1,33109655,33108905
ENSMUSG00000088750.1,chr1,33192102,33191993
ENSMUSG00000104230.1,chr1,33215475,33212774
ENSMUSG00000101754.2,chr1,33237631,33235939
ENSMUSG00000065223.1,chr1,33293775,33293676
ENSMUSG00000100318.2,chr1,33316582,33315670
ENSMUSG00000101612.2,chr1,33373585,33371331
ENSMUSG00000065260.1,chr1,33422838,33422733
ENSMUSG00000026134.11,chr1,33669795,33453810
ENSMUSG00000101682.1,chr1,33482518,33482101
ENSMUSG00000102714.1,chr1,33616832,33613758
ENSMUSG00000102093.1,chr1,33658108,33657781
ENSMUSG00000103746.1,chr1,33670712,33669824
ENSMUSG00000102198.1,chr1,33674228,33671915
ENSMUSG00000004768.14,chr1,33742564,33719887
ENSMUSG00000042215.8,chr1,33757795,33745484
ENSMUSG00000103072.1,chr1,33748347,33748007
ENSMUSG00000042197.13,chr1,33814595,33761545
ENSMUSG00000081402.4,chr1,33838680,33836124
ENSMUSG00000042182.16,chr1,33907816,33852052
ENSMUSG00000104416.1,chr1,33891117,33889490
ENSMUSG00000026131.18,chr1,34308661,33908225
ENSMUSG00000103596.1,chr1,33924838,33922455
ENSMUSG00000099382.1,chr1,33963685,33963352
ENSMUSG00000084506.1,chr1,33981502,33981410
ENSMUSG00000103364.1,chr1,34033797,34032100
ENSMUSG00000105982.1,chr1,34117431,34117359
ENSMUSG00000096992.3,chr1,34178446,34165856
ENSMUSG00000103001.1,chr1,34271128,34269882
ENSMUSG00000104397.1,chr1,34330307,34329433
ENSMUSG00000102839.1,chr1,34351161,34350775
ENSMUSG00000101206.1,chr1,34369003,34367371
ENSMUSG00000101462.2,chr1,34417986,34415050
ENSMUSG00000102336.1,chr1,34433264,34427002
ENSMUSG00000092852.1,chr1,34433199,34433121
ENSMUSG00000042111.9,chr1,34439672,34436670
ENSMUSG00000101711.1,chr1,34444730,34439511
ENSMUSG00000026127.13,chr1,34449356,34439851
ENSMUSG00000026126.15,chr1,34475733,34459762
ENSMUSG00000100280.2,chr1,34473148,34468834
ENSMUSG00000101223.6,chr1,34485933,34477167
ENSMUSG00000026125.9,chr1,34503063,34498410
ENSMUSG00000101116.1,chr1,34524007,34523716
ENSMUSG00000026124.4,chr1,34544313,34535648
ENSMUSG00000101803.1,chr1,34538560,34538086
ENSMUSG00000037529.13,chr1,34560943,34543968
ENSMUSG00000045815.4,chr1,34579711,34579202
ENSMUSG00000045174.10,chr1,34590944,34579657
ENSMUSG00000100524.1,chr1,34607719,34607297
ENSMUSG00000102499.1,chr1,34610806,34610572
ENSMUSG00000103521.1,chr1,34612303,34610908
ENSMUSG00000104098.1,chr1,34636189,34635544
ENSMUSG00000037509.20,chr1,34813309,34678188
ENSMUSG00000102537.1,chr1,34752922,34752775
ENSMUSG00000102612.1,chr1,34753477,34753123
ENSMUSG00000104002.2,chr1,34811908,34809360
ENSMUSG00000037503.12,chr1,34843065,34813219
ENSMUSG00000104358.1,chr1,34826560,34823525
ENSMUSG00000026123.11,chr1,34879580,34849976
ENSMUSG00000103716.1,chr1,34930645,34928509
ENSMUSG00000103548.1,chr1,34969855,34969627
ENSMUSG00000103760.1,chr1,34970500,34970065
ENSMUSG00000103997.1,chr1,34985890,34985656
ENSMUSG00000077231.1,chr1,35179084,35178956
ENSMUSG00000104417.1,chr1,35651297,35625606
ENSMUSG00000064601.1,chr1,35761706,35761602
ENSMUSG00000101714.1,chr1,35810462,35806974
ENSMUSG00000102531.1,chr1,35881119,35879845
ENSMUSG00000103096.1,chr1,35959822,35958919
ENSMUSG00000102279.1,chr1,35986373,35981960
ENSMUSG00000103708.1,chr1,36011044,36002985
ENSMUSG00000104201.1,chr1,36011894,36011072
ENSMUSG00000102434.1,chr1,36031018,36029647
ENSMUSG00000045216.7,chr1,36106446,36068400
ENSMUSG00000104523.1,chr1,36106446,36105384
ENSMUSG00000102202.1,chr1,36138746,36132042
ENSMUSG00000037470.14,chr1,36244720,36140027
ENSMUSG00000098752.1,chr1,36144313,36144252
ENSMUSG00000047180.8,chr1,36274679,36264597
ENSMUSG00000037447.16,chr1,36324029,36307733
ENSMUSG00000102762.1,chr1,36333420,36332708
ENSMUSG00000010453.12,chr1,36369181,36335730
ENSMUSG00000098680.1,chr1,36348758,36348682
ENSMUSG00000037432.15,chr1,36422110,36372291
ENSMUSG00000001143.13,chr1,36445271,36419871
ENSMUSG00000037408.10,chr1,36508764,36471620
ENSMUSG00000104316.1,chr1,36476110,36473952
ENSMUSG00000106081.1,chr1,36506702,36506562
ENSMUSG00000001138.13,chr1,36528237,36511867
ENSMUSG00000102845.1,chr1,36528237,36527534
ENSMUSG00000067653.12,chr1,36536883,36530188
ENSMUSG00000109510.1,chr1,36539429,36530193
ENSMUSG00000079610.9,chr1,36547445,36537507
ENSMUSG00000026121.13,chr1,36558349,36548639
ENSMUSG00000087589.3,chr1,36565613,36557701
ENSMUSG00000046337.17,chr1,36683183,36562692
ENSMUSG00000089906.1,chr1,36602146,36601802
ENSMUSG00000077939.1,chr1,36664039,36663965
ENSMUSG00000061518.11,chr1,36693681,36691449
ENSMUSG00000037351.9,chr1,36714422,36698114
ENSMUSG00000102416.4,chr1,36757953,36710149
ENSMUSG00000104237.1,chr1,36744792,36739048
ENSMUSG00000026117.10,chr1,36782818,36761798
ENSMUSG00000097291.1,chr1,36765874,36764863
ENSMUSG00000026116.11,chr1,36943666,36792191
ENSMUSG00000103016.1,chr1,36872045,36871903
ENSMUSG00000102930.1,chr1,36916539,36913601
ENSMUSG00000103159.1,chr1,36926348,36922797
ENSMUSG00000080054.3,chr1,36958427,36957930
ENSMUSG00000095944.1,chr1,37005557,37005439
