"gene_id","chromosome","end","start","Cpg_number","Gene_length","gene_name","var_dim"
"ENSMUSG00000000486.13","chr7",127233130,127214446,"281",18685,"Sept1","genebody"
"ENSMUSG00000000489.7","chr15",80014977,79995873,"533",19105,"Pdgfb","genebody"
"ENSMUSG00000000530.16","chr15",101145336,101128521,"319",16816,"Acvrl1","genebody"
"ENSMUSG00000000531.5","chr15",101232756,101224187,"254",8570,"Grasp","genebody"
"ENSMUSG00000000532.11","chr15",101213684,101174066,"629",39619,"Acvr1b","genebody"
"ENSMUSG00000000538.18","chr11",60352905,60226713,"1159",126193,"Tom1l2","genebody"
"ENSMUSG00000000544.14","chr1",166166510,166130237,"566",36274,"Gpa33","genebody"
"ENSMUSG00000000552.10","chr15",103340093,103313894,"350",26200,"Zfp385a","genebody"
"ENSMUSG00000000555.8","chr15",103366763,103344285,"280",22479,"Itga5","genebody"
"ENSMUSG00000000560.9","chr5",71095849,70957596,"735",138254,"Gabra2","genebody"
"ENSMUSG00000000561.14","chr3",105970037,105959368,"126",10670,"Wdr77","genebody"
"ENSMUSG00000000562.5","chr3",105908926,105870857,"356",38070,"Adora3","genebody"
"ENSMUSG00000000563.17","chr3",105960099,105942697,"183",17403,"Atp5f1","genebody"
"ENSMUSG00000000567.5","chr11",112787760,112782223,"224",5538,"Sox9","genebody"
"ENSMUSG00000000568.15","chr5",99978938,99955934,"269",23005,"Hnrnpd","genebody"
"ENSMUSG00000000579.14","chr17",6609774,6601670,"133",8105,"Dynlt1c","genebody"
"ENSMUSG00000000581.8","chr11",17269176,17257578,"138",11599,"C1d","genebody"
"ENSMUSG00000000594.7","chr11",55113029,55098114,"182",14916,"Gm2a","genebody"
"ENSMUSG00000000600.15","chr5",3845564,3803183,"307",42382,"Krit1","genebody"
"ENSMUSG00000000605.9","chr7",7300851,7282308,"468",18544,"Clcn4","genebody"
"ENSMUSG00000000606.16","chr14",51419527,51410818,"26",8710,"Vmn2r88","genebody"
"ENSMUSG00000000617.14","chr11",50866208,50850684,"289",15525,"Grm6","genebody"
"ENSMUSG00000000627.15","chr6",82939769,82911884,"372",27886,"Sema4f","genebody"
"ENSMUSG00000000628.10","chr6",82774454,82725024,"835",49431,"Hk2","genebody"
"ENSMUSG00000000631.20","chr11",77865980,77763245,"1642",102736,"Myo18a","genebody"
"ENSMUSG00000000632.13","chr11",77979048,77930799,"751",48250,"Sez6","genebody"
"ENSMUSG00000000673.8","chr17",83846790,83831355,"240",15436,"Haao","genebody"
"ENSMUSG00000000682.7","chr4",134095082,134082447,"185",12636,"Cd52","genebody"
"ENSMUSG00000000686.11","chr11",77538607,77515120,"265",23488,"Abhd15","genebody"
"ENSMUSG00000000690.5","chr11",96301569,96292475,"281",9095,"Hoxb6","genebody"
"ENSMUSG00000000693.10","chr6",83052562,83034172,"273",18391,"Loxl3","genebody"
"ENSMUSG00000000701.8","chr12",105181145,105176343,"32",4803,"Tclb5","genebody"
"ENSMUSG00000000706.16","chr13",23465901,23456991,"129",8911,"Btn1a1","genebody"
"ENSMUSG00000000708.14","chr17",53672720,53566860,"1158",105861,"Kat2b","genebody"
"ENSMUSG00000000711.3","chr10",128696264,128677174,"175",19091,"Rab5b","genebody"
"ENSMUSG00000000724.10","chr11",77725283,77718614,"67",6670,"Cryba1","genebody"
"ENSMUSG00000000730.13","chr10",78063622,78041946,"304",21677,"Dnmt3l","genebody"
"ENSMUSG00000000731.15","chr10",78043610,78030021,"190",13590,"Aire","genebody"
"ENSMUSG00000000732.9","chr10",78083913,78069301,"197",14613,"Icosl","genebody"
"ENSMUSG00000000738.18","chr8",123097760,123062941,"567",34820,"Spg7","genebody"
"ENSMUSG00000000739.14","chr8",123158315,123140191,"242",18125,"Sult5a1","genebody"
"ENSMUSG00000000740.12","chr8",123105244,123102349,"112",2896,"Rpl13","genebody"
"ENSMUSG00000000743.9","chr8",123212763,123204263,"204",8501,"Chmp1a","genebody"
"ENSMUSG00000000751.13","chr11",75348324,75298165,"755",50160,"Rpa1","genebody"
"ENSMUSG00000000753.15","chr11",75422701,75409768,"160",12934,"Serpinf1","genebody"
"ENSMUSG00000000759.14","chr8",12672248,12614276,"805",57973,"Tubgcp3","genebody"
"ENSMUSG00000000766.18","chr10",7038198,6758505,"1740",279694,"Oprm1","genebody"
"ENSMUSG00000000776.13","chr14",70443447,70438756,"149",4692,"Polr3d","genebody"
"ENSMUSG00000000782.15","chr11",52283014,52252370,"449",30645,"Tcf7","genebody"
"ENSMUSG00000000791.9","chr8",70821424,70808448,"253",12977,"Il12rb1","genebody"
"ENSMUSG00000000792.2","chr8",70892757,70882888,"242",9870,"Slc5a5","genebody"
"ENSMUSG00000000794.9","chr3",89675132,89520163,"1888",154970,"Kcnn3","genebody"
"ENSMUSG00000000804.14","chr11",85140161,84984441,"1019",155721,"Usp32","genebody"
"ENSMUSG00000000805.18","chr11",84966044,84957785,"134",8260,"Car4","genebody"
"ENSMUSG00000000811.13","chr6",89675529,89643987,"387",31543,"Txnrd3","genebody"
"ENSMUSG00000000817.10","chr1",161788495,161780688,"61",7808,"Fasl","genebody"
"ENSMUSG00000000823.16","chr2",181592803,181582102,"185",10702,"Zfp512b","genebody"
"ENSMUSG00000000826.16","chr2",181555133,181520484,"331",34650,"Dnajc5","genebody"
"ENSMUSG00000000827.18","chr2",181517966,181497141,"173",20826,"Tpd52l2","genebody"
"ENSMUSG00000000861.15","chr11",24174123,24078055,"1265",96069,"Bcl11a","genebody"
"ENSMUSG00000000869.12","chr11",53618669,53602981,"174",15689,"Il4","genebody"
"ENSMUSG00000000876.11","chr2",154603708,154585757,"235",17952,"Pxmp4","genebody"
"ENSMUSG00000000884.17","chr16",18566679,18498712,"745",67968,"Gnb1l","genebody"
"ENSMUSG00000000889.8","chr2",27183200,27165232,"203",17969,"Dbh","genebody"
"ENSMUSG00000000901.17","chr10",75936496,75923221,"265",13276,"Mmp11","genebody"
"ENSMUSG00000000902.13","chr10",75921617,75896768,"356",24850,"Smarcb1","genebody"
"ENSMUSG00000000903.3","chr10",75949657,75943056,"95",6602,"Vpreb3","genebody"
"ENSMUSG00000000915.15","chr5",124005558,123973627,"679",31932,"Hip1r","genebody"
"ENSMUSG00000000916.15","chr5",135376805,135369952,"140",6854,"Nsun5","genebody"
"ENSMUSG00000000934.9","chr15",75678800,75657034,"409",21767,"Top1mt","genebody"
"ENSMUSG00000000938.11","chr6",52240854,52231196,"317",9659,"Hoxa10","genebody"
"ENSMUSG00000000942.10","chr6",52191753,52189670,"130",2084,"Hoxa4","genebody"
"ENSMUSG00000000948.16","chr7",60005064,59974148,"167",30917,"RP24-177J9.4","genebody"
"ENSMUSG00000000957.11","chr14",54445364,54431611,"293",13754,"Mmp14","genebody"
"ENSMUSG00000000958.10","chr14",54417780,54369441,"582",48340,"Slc7a7","genebody"
"ENSMUSG00000000959.7","chr14",54369673,54360833,"157",8841,"Oxa1l","genebody"
"ENSMUSG00000000976.13","chr11",83783754,83753695,"435",30060,"Heatr6","genebody"
"ENSMUSG00000000982.5","chr11",83649355,83647843,"19",1513,"Ccl3","genebody"
"ENSMUSG00000000983.13","chr11",83711348,83709014,"15",2335,"Wfdc18","genebody"
"ENSMUSG00000001014.6","chr9",21030595,21029372,"56",1224,"Icam4","genebody"
"ENSMUSG00000001016.12","chr3",90488379,90476125,"119",12255,"Ilf2","genebody"
"ENSMUSG00000001017.15","chr3",90509498,90498955,"145",10544,"Chtop","genebody"
"ENSMUSG00000001018.15","chr3",90491033,90488025,"59",3009,"Snapin","genebody"
"ENSMUSG00000001020.8","chr3",90606045,90603770,"24",2276,"S100a4","genebody"
"ENSMUSG00000001021.12","chr3",90602702,90560577,"358",42126,"S100a3","genebody"
"ENSMUSG00000001023.10","chr3",90611780,90608522,"17",3259,"S100a5","genebody"
"ENSMUSG00000001025.8","chr3",90624181,90612881,"104",11301,"S100a6","genebody"
"ENSMUSG00000001027.7","chr11",106353288,106318591,"496",34698,"Scn4a","genebody"
"ENSMUSG00000001029.15","chr11",106388075,106377655,"142",10421,"Icam2","genebody"
"ENSMUSG00000001034.17","chr11",61494406,61488811,"169",5596,"Mapk7","genebody"
"ENSMUSG00000001036.17","chr11",61579687,61517248,"498",62440,"Epn2","genebody"
"ENSMUSG00000001039.12","chr11",61512931,61505143,"89",7789,"B9d1","genebody"
"ENSMUSG00000001052.15","chr3",130061553,129982758,"1119",78796,"Sec24b","genebody"
"ENSMUSG00000001053.15","chr11",51650842,51643062,"207",7781,"N4bp3","genebody"
"ENSMUSG00000001054.9","chr11",51635896,51623670,"188",12227,"Rmnd5b","genebody"
"ENSMUSG00000001056.3","chr11",51623714,51619734,"88",3981,"Nhp2","genebody"
"ENSMUSG00000001062.18","chr8",123254348,123242355,"262",11994,"Vps9d1","genebody"
"ENSMUSG00000001065.15","chr8",123269745,123254194,"348",15552,"Zfp276","genebody"
"ENSMUSG00000001076.7","chr15",99087817,99084085,"97",3733,"C1ql4","genebody"
"ENSMUSG00000001082.12","chr5",34637212,34633641,"96",3572,"Mfsd10","genebody"
"ENSMUSG00000001089.14","chr4",136554780,136469760,"604",85021,"Luzp1","genebody"
"ENSMUSG00000001095.5","chr11",78422217,78397086,"300",25132,"Slc13a2","genebody"
"ENSMUSG00000001098.15","chr5",114380508,114363566,"427",16943,"Kctd10","genebody"
"ENSMUSG00000001100.10","chr11",78522736,78512192,"150",10545,"Poldip2","genebody"
"ENSMUSG00000001103.7","chr11",78505081,78503446,"13",1636,"Sebox","genebody"
"ENSMUSG00000001105.15","chr11",78541737,78536360,"91",5378,"Ift20","genebody"
"ENSMUSG00000001119.7","chr10",76726168,76708791,"271",17378,"Col6a1","genebody"
"ENSMUSG00000001120.15","chr10",76961887,76761856,"1982",200032,"Pcbp3","genebody"
"ENSMUSG00000001123.15","chr11",78984946,78962973,"252",21974,"Lgals9","genebody"
"ENSMUSG00000001138.13","chr1",36528237,36511866,"415",16372,"Cnnm3","genebody"
"ENSMUSG00000001143.13","chr1",36445271,36419870,"349",25402,"Lman2l","genebody"
"ENSMUSG00000001150.7","chr10",76515857,76468926,"626",46932,"Mcm3ap","genebody"
"ENSMUSG00000001151.10","chr10",76442786,76351262,"1446",91525,"Pcnt","genebody"
"ENSMUSG00000001155.13","chr10",76590338,76575647,"183",14692,"Ftcd","genebody"
"ENSMUSG00000001156.9","chr6",86669161,86647041,"340",22121,"Mxd1","genebody"
"ENSMUSG00000001157.13","chr6",86733383,86691767,"417",41617,"Gmcl1","genebody"
"ENSMUSG00000001158.13","chr6",86684522,86675150,"123",9373,"Snrnp27","genebody"
"ENSMUSG00000001166.17","chr5",120812514,120800193,"118",12322,"Oas1c","genebody"
"ENSMUSG00000001168.16","chr5",120873506,120861420,"103",12087,"Oas1h","genebody"
"ENSMUSG00000001175.14","chr12",100209814,100199434,"267",10381,"Calm1","genebody"
"ENSMUSG00000001211.15","chr10",78352489,78269177,"1029",83313,"Agpat3","genebody"
"ENSMUSG00000001225.12","chr12",31473917,31390870,"752",83048,"Slc26a3","genebody"
"ENSMUSG00000001227.11","chr17",56140343,56123084,"511",17260,"Sema6b","genebody"
"ENSMUSG00000001228.14","chr17",56323486,56303320,"378",20167,"Uhrf1","genebody"
"ENSMUSG00000001229.8","chr17",56218889,56186806,"539",32084,"Dpp9","genebody"
"ENSMUSG00000001240.13","chr11",101259546,101246027,"239",13520,"Ramp2","genebody"
"ENSMUSG00000001247.16","chr7",30973464,30957769,"261",15696,"Lsr","genebody"
"ENSMUSG00000001248.15","chr7",31155896,31130126,"472",25771,"Gramd1a","genebody"
"ENSMUSG00000001249.14","chr7",31115290,31098724,"251",16567,"Hpn","genebody"
"ENSMUSG00000001260.10","chr5",70842617,70751046,"529",91572,"Gabrg1","genebody"
"ENSMUSG00000001270.9","chr12",111672338,111669360,"178",2979,"Ckb","genebody"
"ENSMUSG00000001280.13","chr15",102436404,102406142,"260",30263,"Sp1","genebody"
"ENSMUSG00000001281.10","chr15",102231944,102215994,"264",15951,"Itgb7","genebody"
"ENSMUSG00000001285.12","chr15",102338139,102331708,"122",6432,"Myg1","genebody"
"ENSMUSG00000001288.15","chr15",102257517,102234937,"512",22581,"Rarg","genebody"
"ENSMUSG00000001289.12","chr15",102331873,102326115,"132",5759,"Pfdn5","genebody"
"ENSMUSG00000001300.16","chr8",8661242,8617433,"722",43810,"Efnb2","genebody"
"ENSMUSG00000001305.5","chr1",186749358,186720977,"431",28382,"Rrp15","genebody"
"ENSMUSG00000001313.12","chr11",101471853,101464998,"273",6856,"Rnd2","genebody"
"ENSMUSG00000001323.17","chr11",74925948,74906358,"213",19591,"Srr","genebody"
"ENSMUSG00000001333.9","chr4",129308559,129287616,"294",20944,"Sync","genebody"
"ENSMUSG00000001334.9","chr4",129144593,129136998,"145",7596,"Fndc5","genebody"
"ENSMUSG00000001348.15","chr9",22135711,22126726,"196",8986,"Acp5","genebody"
"ENSMUSG00000001349.5","chr9",22109630,22099215,"157",10416,"Cnn1","genebody"
"ENSMUSG00000001366.14","chr9",78109065,78081498,"404",27568,"Fbxo9","genebody"
"ENSMUSG00000001376.17","chr6",3603531,3498381,"857",105151,"Vps50","genebody"
"ENSMUSG00000001380.6","chr18",36783205,36766529,"185",16677,"Hars","genebody"
"ENSMUSG00000001383.8","chr18",36799660,36793922,"89",5739,"Zmat2","genebody"
"ENSMUSG00000001403.13","chr2",164778822,164769897,"200",8926,"Ube2c","genebody"
"ENSMUSG00000001415.10","chr3",88362338,88336259,"332",26080,"Smg5","genebody"
"ENSMUSG00000001416.13","chr3",88321767,88297115,"222",24653,"Cct3","genebody"
"ENSMUSG00000001418.13","chr3",88331313,88325022,"99",6292,"Glmp","genebody"
"ENSMUSG00000001419.17","chr3",88172086,88142371,"417",29716,"Mef2d","genebody"
"ENSMUSG00000001420.13","chr3",88336148,88328654,"155",7495,"Tmem79","genebody"
"ENSMUSG00000001424.14","chr6",28935162,28475138,"4344",460025,"Snd1","genebody"
"ENSMUSG00000001435.15","chr10",77166548,77052177,"1435",114372,"Col18a1","genebody"
"ENSMUSG00000001436.15","chr10",77061002,77032240,"471",28763,"Slc19a1","genebody"
"ENSMUSG00000001440.5","chr11",97187881,97159713,"367",28169,"Kpnb1","genebody"
"ENSMUSG00000001441.13","chr11",97280638,97205841,"689",74798,"Npepps","genebody"
"ENSMUSG00000001444.2","chr11",97115331,97098070,"319",17262,"Tbx21","genebody"
"ENSMUSG00000001445.10","chr11",97049213,97041559,"134",7655,"Mrpl10","genebody"
"ENSMUSG00000001467.5","chr5",4104746,4081144,"283",23603,"Cyp51","genebody"
"ENSMUSG00000001472.17","chr8",123403835,123373752,"549",30084,"Tcf25","genebody"
"ENSMUSG00000001473.6","chr18",67402748,67390716,"259",12033,"Tubb6","genebody"
"ENSMUSG00000001482.15","chr8",123463270,123423526,"776",39745,"Def8","genebody"
"ENSMUSG00000001493.9","chr11",101894374,101877509,"258",16866,"Meox1","genebody"
"ENSMUSG00000001494.6","chr11",101967015,101962457,"144",4559,"Sost","genebody"
"ENSMUSG00000001496.15","chr12",56536908,56531957,"286",4952,"Nkx2-1","genebody"
"ENSMUSG00000001497.18","chr12",56712822,56691766,"404",21057,"Pax9","genebody"
"ENSMUSG00000001504.10","chr13",72634198,72628819,"276",5380,"Irx2","genebody"
"ENSMUSG00000001506.10","chr11",94953042,94936223,"317",16820,"Col1a1","genebody"
"ENSMUSG00000001507.16","chr11",95076801,95044473,"542",32329,"Itga3","genebody"
"ENSMUSG00000001508.15","chr11",94976327,94962790,"175",13538,"Sgca","genebody"
"ENSMUSG00000001510.8","chr11",95125296,95120118,"194",5179,"Dlx3","genebody"
"ENSMUSG00000001517.14","chr6",128376146,128362966,"249",13181,"Foxm1","genebody"
"ENSMUSG00000001518.12","chr6",128424931,128409443,"209",15489,"Itfg2","genebody"
"ENSMUSG00000001520.12","chr6",128416427,128399295,"222",17133,"Nrip2","genebody"
"ENSMUSG00000001521.12","chr6",128355851,128321160,"528",34692,"Tulp3","genebody"
"ENSMUSG00000001524.14","chr17",35673739,35667729,"134",6011,"Gtf2h4","genebody"
"ENSMUSG00000001525.10","chr17",35838306,35833920,"157",4387,"Tubb5","genebody"
"ENSMUSG00000001542.7","chr13",75772364,75706756,"535",65609,"Ell2","genebody"
"ENSMUSG00000001552.14","chr11",100397763,100368957,"483",28807,"Jup","genebody"
"ENSMUSG00000001555.10","chr11",100424824,100415696,"159",9129,"Fkbp10","genebody"
"ENSMUSG00000001558.5","chr11",100457022,100441916,"196",15107,"Klhl10","genebody"
"ENSMUSG00000001566.9","chr5",29478470,29473033,"213",5438,"Mnx1","genebody"
"ENSMUSG00000001569.10","chr5",29457843,29434663,"233",23181,"Nom1","genebody"
"ENSMUSG00000001576.14","chr17",26656931,26561488,"1293",95444,"Ergic1","genebody"
"ENSMUSG00000001583.13","chr11",69858730,69851004,"166",7727,"Tnk1","genebody"
"ENSMUSG00000001588.12","chr11",69895539,69881566,"188",13974,"Acap1","genebody"
"ENSMUSG00000001604.14","chr4",136274898,136247728,"405",27171,"Tcea3","genebody"
"ENSMUSG00000001622.15","chr5",87932665,87925578,"31",7088,"Csn3","genebody"
"ENSMUSG00000001627.12","chr12",40248504,40201566,"520",46939,"Ifrd1","genebody"
"ENSMUSG00000001630.13","chr6",146778812,146724994,"437",53819,"Stk38l","genebody"
"ENSMUSG00000001632.16","chr6",113324860,113307136,"286",17725,"Brpf1","genebody"
"ENSMUSG00000001642.18","chr6",34317478,34302433,"254",15046,"Akr1b3","genebody"
"ENSMUSG00000001655.6","chr15",102928814,102921102,"190",7713,"Hoxc13","genebody"
"ENSMUSG00000001656.3","chr15",102957708,102954426,"160",3283,"Hoxc11","genebody"
"ENSMUSG00000001657.7","chr15",102994111,102990606,"89",3506,"Hoxc8","genebody"
"ENSMUSG00000001661.5","chr15",103011881,102998256,"286",13626,"Hoxc6","genebody"
"ENSMUSG00000001663.10","chr10",75798584,75783812,"161",14773,"Gstt1","genebody"
"ENSMUSG00000001665.11","chr10",75781414,75774114,"104",7301,"Gstt3","genebody"
"ENSMUSG00000001666.8","chr10",75773414,75771229,"69",2186,"Ddt","genebody"
"ENSMUSG00000001670.13","chr8",109999803,109990436,"139",9368,"Tat","genebody"
"ENSMUSG00000001672.14","chr8",109962203,109947913,"301",14291,"Marveld3","genebody"
"ENSMUSG00000001674.11","chr1",121567989,121553834,"215",14156,"Ddx18","genebody"
"ENSMUSG00000001687.15","chr5",148552789,148504634,"554",48156,"Ubl3","genebody"
"ENSMUSG00000001700.9","chr18",56503792,56432131,"936",71662,"Gramd3","genebody"
"ENSMUSG00000001707.8","chr13",38659058,38644206,"202",14853,"Eef1e1","genebody"
"ENSMUSG00000001729.14","chr12",112674884,112653820,"524",21065,"Akt1","genebody"
"ENSMUSG00000001739.14","chr5",136975858,136966615,"121",9244,"Cldn15","genebody"
"ENSMUSG00000001741.12","chr7",83745726,83642824,"799",102903,"Il16","genebody"
"ENSMUSG00000001750.15","chr19",3907133,3896049,"199",11085,"Tcirg1","genebody"
"ENSMUSG00000001751.9","chr11",101077672,101070011,"174",7662,"Naglu","genebody"
"ENSMUSG00000001755.12","chr11",101086619,101082564,"108",4056,"Coasy","genebody"
"ENSMUSG00000001761.7","chr6",29761365,29735502,"402",25864,"Smo","genebody"
"ENSMUSG00000001763.14","chr6",29718559,29694221,"315",24339,"Tspan33","genebody"
"ENSMUSG00000001767.5","chr2",145935014,145917478,"220",17537,"Crnkl1","genebody"
"ENSMUSG00000001768.16","chr2",145887616,145675214,"2131",212403,"Rin2","genebody"
"ENSMUSG00000001773.14","chr7",86775943,86718976,"205",56968,"Folh1","genebody"
"ENSMUSG00000001774.8","chr9",18317442,18292124,"217",25319,"Chordc1","genebody"
"ENSMUSG00000001783.3","chr10",85957823,85938636,"243",19188,"Rtcb","genebody"
"ENSMUSG00000001785.13","chr10",85889096,85829493,"599",59604,"Pwp1","genebody"
"ENSMUSG00000001786.14","chr10",86051873,86021971,"281",29903,"Fbxo7","genebody"
"ENSMUSG00000001794.13","chr7",30198811,30186935,"249",11877,"Capns1","genebody"
"ENSMUSG00000001802.16","chr7",35215498,35200026,"345",15473,"Lrp3","genebody"
"ENSMUSG00000001804.9","chr18",20471821,20436174,"222",35648,"Dsg4","genebody"
"ENSMUSG00000001815.15","chr2",74659557,74652990,"300",6568,"Evx2","genebody"
"ENSMUSG00000001819.4","chr2",74671599,74668309,"107",3291,"Hoxd13","genebody"
"ENSMUSG00000001823.5","chr2",74677705,74675012,"79",2694,"Hoxd12","genebody"
"ENSMUSG00000001827.12","chr7",101870788,101858330,"144",12459,"Folr1","genebody"
"ENSMUSG00000001829.17","chr7",101795506,101663632,"1189",131875,"Clpb","genebody"
